Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q28.1. Climate change will reduce the quality of life for future generations: To what extent do you agree or disagree, if at all, with the following statements relating to climate change?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,8976,4015,4913,933,1712,1863,1359,1747,1362,2645,3222,3109,3004,5972,2822,2887,1590,1020,657,5709,3267,4583,4333,7653,268,480,491,50,5832,3039,1799,1444,8064,745,5632,3041,6650,2219,4644,1463,1895,1286,3177,5455,3218,5114,3545
,Total,8976,4315,4613,1174,1488,1427,1447,1399,2041,2662,2874,3440,3098,5878,2005,2962,1812,1367,830,4968,4008,5127,3774,7598,168,713,304,160,5726,3137,1774,1545,8083,710,5517,3117,6466,2379,4459,1404,1782,1273,3373,5280,3367,4995,3624
,Strongly agree,2544,1178,1339,426,472,376,382,393,495,898,759,888,914,1631,583,880,477,352,252,1464,1081,1330,1198,2106,67,209,91,61,1530,988,590,492,2194,273,1567,929,1897,623,1394,478,511,405,859,1549,931,1976,510
,,0.28,0.27,0.29,0.36,0.32,0.26,0.26,0.28,0.24,0.34,0.26,0.26,0.3,0.28,0.29,0.3,0.26,0.26,0.3,0.29,0.27,0.26,0.32,0.28,0.4,0.29,0.3,0.38,0.27,0.31,0.33,0.32,0.27,0.39,0.28,0.3,0.29,0.26,0.31,0.34,0.29,0.32,0.25,0.29,0.28,0.4,0.14
,,,,,bcdefhi,cdefhi,,,f,,cdefhi,,,,,cd,cdg,,,d,cdg,,,a,,acd,,,,,a,a,a,,a,,,b,,ce,ace,e,e,,,,b,
,Somewhat agree,3328,1536,1782,394,540,542,539,513,801,934,1080,1314,1047,2281,795,1118,655,500,260,1914,1414,1883,1419,2844,58,286,106,22,2198,1092,584,564,3051,234,2171,1036,2493,800,1652,509,676,467,1234,2040,1178,1946,1272
,,0.37,0.36,0.39,0.34,0.36,0.38,0.37,0.37,0.39,0.35,0.38,0.38,0.34,0.39,0.4,0.38,0.36,0.37,0.31,0.39,0.35,0.37,0.38,0.37,0.35,0.4,0.35,0.14,0.38,0.35,0.33,0.36,0.38,0.33,0.39,0.33,0.39,0.34,0.37,0.36,0.38,0.37,0.37,0.39,0.35,0.39,0.35
,,,,a,,,ag,,,ag,,ag,ag,,a,ceg,eg,e,e,,eg,,,,e,e,e,e,,bc,,,c,b,,b,,b,,,,,,,b,,b,
,Neither agree nor disagree,1664,802,859,208,263,312,282,248,352,471,594,600,641,1023,316,472,375,316,186,788,877,1042,600,1414,20,121,66,34,1027,609,338,280,1526,111,967,613,1153,485,797,234,341,222,650,930,662,629,933
,,0.19,0.19,0.19,0.18,0.18,0.22,0.19,0.18,0.17,0.18,0.21,0.17,0.21,0.17,0.16,0.16,0.21,0.23,0.22,0.16,0.22,0.2,0.16,0.19,0.12,0.17,0.22,0.22,0.18,0.19,0.19,0.18,0.19,0.16,0.18,0.2,0.18,0.2,0.18,0.17,0.19,0.17,0.19,0.18,0.2,0.13,0.26
,,,,,,,abefgi,,,,,abefgi,,b,,,,abf,abf,abf,,abf,b,,b,,,b,,,,,,b,,,a,,a,,,,,b,,a,,a
,Somewhat disagree,666,361,304,78,102,93,119,95,179,180,211,274,254,412,152,226,156,80,51,379,287,383,282,558,10,51,20,25,452,208,116,98,615,37,416,227,457,196,333,97,140,96,252,393,252,244,408
,,0.07,0.08,0.07,0.07,0.07,0.07,0.08,0.07,0.09,0.07,0.07,0.08,0.08,0.07,0.08,0.08,0.09,0.06,0.06,0.08,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.15,0.08,0.07,0.07,0.06,0.08,0.05,0.08,0.07,0.07,0.08,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.05,0.11
,,,b,,,,,,,ceg,,,,b,,,,de,,,d,,,,,,,,abcd,bd,,,,b,,,,,,,,,,,,,,a
,Strongly disagree,485,301,179,39,65,60,83,97,141,103,144,238,150,335,111,167,112,57,37,279,206,296,184,424,9,21,16,15,321,155,89,76,436,37,277,185,315,162,201,64,81,56,237,246,222,130,342
,,0.05,0.07,0.04,0.03,0.04,0.04,0.06,0.07,0.07,0.04,0.05,0.07,0.05,0.06,0.06,0.06,0.06,0.04,0.04,0.06,0.05,0.06,0.05,0.06,0.05,0.03,0.05,0.09,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.07,0.05,0.05,0.05,0.04,0.07,0.05,0.07,0.03,0.09
,,,b,,,,,acg,abcgh,abcgh,,ag,abcgh,,,,,d,,,,,,,c,,,,c,,,,,,,,,,a,,,,,abcd,,a,,a
,Don't know,289,137,150,29,46,44,42,53,74,75,86,127,92,196,47,98,37,62,45,145,144,192,91,251,3,26,4,3,197,86,56,36,261,18,119,127,150,113,81,21,33,27,141,121,123,70,159
,,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.02,0.03,0.02,0.05,0.05,0.03,0.04,0.04,0.02,0.03,0.02,0.04,0.01,0.02,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.04,0.02,0.05,0.02,0.02,0.02,0.02,0.04,0.02,0.04,0.01,0.04
,,,,,,,,,,,,,,,,,ac,,acf,abcfg,,ac,b,,d,,d,,,d,,,,,,,a,,a,,,,,abcd,,a,,a
,NET: Agree,5872,2714,3121,820,1012,918,921,906,1295,1832,1839,2201,1961,3912,1379,1999,1131,852,511,3377,2495,3213,2618,4951,125,495,197,83,3728,2080,1174,1056,5245,507,3738,1965,4390,1423,3046,987,1187,872,2094,3589,2108,3922,1782
,,0.65,0.63,0.68,0.7,0.68,0.64,0.64,0.65,0.63,0.69,0.64,0.64,0.63,0.67,0.69,0.67,0.62,0.62,0.62,0.68,0.62,0.63,0.69,0.65,0.75,0.69,0.65,0.52,0.65,0.66,0.66,0.68,0.65,0.71,0.68,0.63,0.68,0.6,0.68,0.7,0.67,0.69,0.62,0.68,0.63,0.79,0.49
,,,,a,cdefhi,cdefhi,,,,,cdefhi,,,,a,cdeg,cdeg,,,,cdeg,,,a,e,ade,e,,,,,,a,,a,b,,b,,e,ce,e,e,,b,,b,
,NET: Disagree,1151,662,483,117,167,153,202,192,320,284,355,512,404,747,264,394,268,137,88,658,493,679,466,982,19,72,36,40,773,363,206,174,1051,74,693,411,773,359,535,162,220,152,489,639,474,373,750
,,0.13,0.15,0.1,0.1,0.11,0.11,0.14,0.14,0.16,0.11,0.12,0.15,0.13,0.13,0.13,0.13,0.15,0.1,0.11,0.13,0.12,0.13,0.12,0.13,0.11,0.1,0.12,0.25,0.14,0.12,0.12,0.11,0.13,0.1,0.13,0.13,0.12,0.15,0.12,0.12,0.12,0.12,0.14,0.12,0.14,0.07,0.21
,,,b,,,,,abcg,abcg,abcgh,,ag,abcgh,,,d,d,deg,,,d,d,,,,,,,abcd,bcd,,,,b,,,,,a,,,,,abcd,,a,,a
,"Columns Tested: a,b - a,b,c,d,e,f,g,h,i - a,b - a,b,c,d,e,f,g - a,b - a,b,c,d,e - a,b,c,d - a,b - a,b - a,b - a,b,c,d,e - a,b - a,b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
