Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q8. Summary Table (Top:10): Which of the following do you think could help a child stay safe online?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Age of child,,,Gender of child,,Age of parent,,,Gender of parent,,Regions,,,,,,,,,,,,SEG,,Ethnicity of parent,,,,,,Parental / Guardianship status,,,,Perspective on challenges relating to gender,,
,,Total,0-5,6-11,12-18,Male,Female,18-34,35-64,65+,Male,Female,Northern Ireland,Scotland,North-West,North-East,Yorkshire & The Humber,Wales,West Midlands,East Midlands,South-West,South-East,East of England,London,ABC1,C2DE,White,Mixed/multiple,Asian or Asian British,Black or Black British,Another ethnicity,NET: Ethnic minority,Mother,Father,Parents,Gaurdian,Growing up as a boy is more challenging,Growing up as a girl is more challenging,Equally difficult
,Significance Level: 95%,,a,b,c,a,b,a,b,*c,a,b,a,b,c,d,e,f,g,h,i,j,k,l,a,b,a,b,c,d,*e,f,a,b,c,d,a,b,c
,,0.57,0.59,0.58,0.54,0.57,0.59,0.57,0.57,0.6,0.52,0.62,0.63,0.65,0.57,0.58,0.54,0.55,0.57,0.61,0.63,0.63,0.6,0.41,0.58,0.56,0.58,0.56,0.57,0.46,0.27,0.52,0.62,0.52,0.57,0.63,0.42,0.62,0.59
,,,,,,,,,,,,a,l,el,l,l,l,l,l,l,l,l,l,,,,df,,,,,,bc,,b,,,a,a
,Blocking downloading of apps that are not age-appropriate,1153,494,569,525,807,748,349,796,8,522,629,41,81,130,50,94,55,109,98,102,165,109,122,662,492,965,40,77,67,5,186,626,505,1131,22,108,332,704
,,0.57,0.61,0.6,0.51,0.57,0.58,0.58,0.57,0.54,0.54,0.61,0.65,0.55,0.56,0.55,0.57,0.61,0.6,0.6,0.62,0.61,0.6,0.45,0.58,0.56,0.57,0.53,0.63,0.56,0.34,0.57,0.61,0.53,0.57,0.67,0.45,0.59,0.6
,,,c,c,,,,,,,,a,l,l,l,,l,l,l,l,l,l,l,,,,,,,,,,bc,,b,,,a,a
,"Making use of parental controls (e.g. on platforms, devices, Wi-Fi)",1187,527,592,516,834,765,375,802,9,540,644,44,94,125,56,85,54,118,94,104,170,98,144,686,501,989,46,66,79,7,196,635,532,1167,20,120,345,714
,,0.59,0.65,0.62,0.5,0.59,0.59,0.62,0.57,0.61,0.55,0.62,0.7,0.64,0.53,0.62,0.52,0.61,0.65,0.58,0.64,0.63,0.54,0.53,0.61,0.57,0.59,0.62,0.54,0.67,0.48,0.6,0.62,0.56,0.59,0.6,0.5,0.62,0.61
,,,c,c,,,,,,,,a,cekl,cel,,,,,cekl,,cel,cel,,,,,,,,c,,,b,,,,,a,a
,Never sharing passwords with other people,1016,416,484,491,713,645,317,691,9,450,566,35,77,118,46,87,48,86,86,86,143,91,113,577,439,859,38,66,50,2,156,561,441,1001,15,101,294,610
,,0.5,0.52,0.51,0.48,0.5,0.5,0.52,0.49,0.59,0.46,0.54,0.56,0.52,0.51,0.51,0.53,0.53,0.48,0.53,0.53,0.53,0.5,0.42,0.51,0.5,0.51,0.51,0.54,0.42,0.14,0.48,0.55,0.46,0.5,0.45,0.42,0.53,0.52
,,,,,,,,,,,,a,,l,l,,l,,,l,l,l,,,,,,,,,,,bc,,b,,,a,a
,Other,8,1,3,4,4,4,1,7,0,3,5,0,1,0,0,1,0,0,2,1,0,2,1,7,1,5,1,1,1,0,3,5,3,8,0,0,2,5
,,*%,*%,*%,*%,*%,*%,*%,0.01,0,*%,*%,0,0.01,0,0,0.01,0,0,0.01,0.01,0,0.01,*%,0.01,*%,*%,0.01,0.01,0.01,0,0.01,*%,*%,*%,0,0,*%,*%
,"Columns Tested: a,b,c - a,b - a,b,c - a,b - a,b,c,d,e,f,g,h,i,j,k,l - a,b - a,b,c,d,e,f - a,b,c,d - a,b,c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
