Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q2. Compared with 10 years ago (i.e. 2012), do you have more or less freedom to choose what you wear (e.g. religious symbols, hijab, trousers, swimwear)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Brazil,China,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Russia,Saudi Arabia,Turkey,UK,Ukraine,USA,18-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Working (full time or part time),Not working,In education,Retired,"Other (incl. house wife, full time carer)",Single,NET: In a relationship,Living as a couple/Co-habiting,Married / civil partnership,Separated/divorced/widowed
,Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,a,b,c,d,e,f,g,h,i,a,b,c,d,e,a,b,c,d,e
,Unweighted Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2783,3933,3188,2452,1800,1567,6716,5640,3367,9808,1729,1142,1391,1653,4049,9699,2237,7462,1792
,Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2585,3428,3037,2724,2084,1865,6014,5761,3949,9703,1725,1078,1586,1631,3857,9765,2304,7461,1931
,Much more freedom,7024,684,489,558,533,401,585,772,523,333,271,481,408,310,280,397,1349,1737,1396,1103,819,621,3086,2499,1440,4698,694,501,483,648,1936,4263,1018,3246,759
,,0.45,0.68,0.48,0.52,0.48,0.38,0.57,0.7,0.51,0.33,0.27,0.48,0.35,0.29,0.28,0.38,0.52,0.51,0.46,0.4,0.39,0.33,0.51,0.43,0.36,0.48,0.4,0.46,0.3,0.4,0.5,0.44,0.44,0.44,0.39
,,,bcdefhijklmno,eijlmno,beijklmno,eijlmno,ijmn,bcdehijklmno,bcdefhijklmno,eijlmno,jmn,,eijlmno,jmn,,,ijmn,cdefhi,cdefhi,defhi,fi,fi,,cdefhi,defi,f,bde,d,bde,,d,bcde,e,e,e,
,Slightly more freedom,3317,116,327,254,284,305,263,142,235,305,154,274,244,159,115,140,641,756,629,641,324,326,1397,1270,650,2217,300,292,216,291,846,2183,525,1658,260
,,0.21,0.12,0.32,0.24,0.26,0.29,0.26,0.13,0.23,0.3,0.15,0.27,0.21,0.15,0.11,0.13,0.25,0.22,0.21,0.24,0.16,0.17,0.23,0.22,0.16,0.23,0.17,0.27,0.14,0.18,0.22,0.22,0.23,0.22,0.13
,,,,acdfghjklmno,agjmno,agjlmno,acghjlmno,agjlmno,,agjmno,acdfghjlmno,an,aghjlmno,agjmno,an,,,bcefhi,efi,efi,cefi,,,cefi,efi,,bde,d,abde,,d,e,e,e,e,
,About the same,4048,163,157,179,180,236,95,163,145,195,526,183,341,547,521,419,302,593,774,786,788,805,896,1559,1593,2108,524,149,769,499,711,2552,587,1965,745
,,0.26,0.16,0.15,0.17,0.16,0.22,0.09,0.15,0.14,0.19,0.52,0.18,0.29,0.51,0.52,0.4,0.12,0.17,0.25,0.29,0.38,0.43,0.15,0.27,0.4,0.22,0.3,0.14,0.48,0.31,0.18,0.26,0.25,0.26,0.39
,,,f,f,f,f,abcdfghk,,f,f,bfgh,abcdefghiklo,fgh,abcdefghik,abcdefghiklo,abcdefghiklo,abcdefghikl,,ag,abg,abcg,abcdgh,abcdegh,a,abg,abcdgh,c,ac,,abce,ac,,a,a,a,abcd
,Slightly less freedom,761,24,31,50,70,87,53,23,69,79,31,49,82,30,37,46,160,195,152,108,83,63,355,260,146,422,103,78,54,104,191,474,109,366,82
,,0.05,0.02,0.03,0.05,0.06,0.08,0.05,0.02,0.07,0.08,0.03,0.05,0.07,0.03,0.04,0.04,0.06,0.06,0.05,0.04,0.04,0.03,0.06,0.05,0.04,0.04,0.06,0.07,0.03,0.06,0.05,0.05,0.05,0.05,0.04
,,,,,agm,abgjmno,abcfgjkmno,abgjm,,abcgjmno,abcfgjkmno,,abgjm,abcgjkmno,,g,ag,cdefhi,defhi,fi,,,,defhi,,,,ad,ad,,ad,,,,,
,Much less freedom,459,18,17,18,31,29,23,7,44,72,16,19,78,10,45,30,104,124,73,65,55,37,228,138,92,220,80,42,50,65,142,237,51,187,67
,,0.03,0.02,0.02,0.02,0.03,0.03,0.02,0.01,0.04,0.07,0.02,0.02,0.07,0.01,0.05,0.03,0.04,0.04,0.02,0.02,0.03,0.02,0.04,0.02,0.02,0.02,0.05,0.04,0.03,0.04,0.04,0.02,0.02,0.03,0.03
,,,g,g,g,gm,gm,gm,,abcefgjkm,abcdefghjkmno,g,g,abcdefghjkmno,,abcdefgjkmo,gjm,cdefhi,cdfhi,,,,,cdefhi,,,,ad,a,a,a,bcd,,,,bcd
,Don't know,114,3,4,8,9,4,2,2,2,21,13,6,7,11,10,11,29,23,13,22,15,12,52,35,27,37,24,15,14,23,32,55,15,40,19
,,0.01,*%,*%,0.01,0.01,*%,*%,*%,*%,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,*%,0.01,0.01,0.01,0.01,0.01,0.01,*%,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
,,,,,,gh,,,,,abcdefghklno,abefgh,,,afgh,afgh,afgh,ch,,,,,,c,,,,a,a,a,a,,,,,bd
,NET: More freedom,10341,800,816,812,817,705,848,914,758,638,425,755,652,468,396,537,1990,2493,2025,1743,1143,947,4483,3768,2090,6915,995,793,699,939,2782,6446,1543,4903,1019
