Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q5. Compared with 10 years ago (i.e. 2012), do you feel that women in leadership positions (e.g. in business, politics) in your country are more or less able to use the power they hold?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Brazil,China,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Russia,Saudi Arabia,Turkey,UK,Ukraine,USA,18-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Working (full time or part time),Not working,In education,Retired,"Other (incl. house wife, full time carer)",Single,NET: In a relationship,Living as a couple/Co-habiting,Married / civil partnership,Separated/divorced/widowed
,Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,a,b,c,d,e,f,g,h,i,a,b,c,d,e,a,b,c,d,e
,Unweighted Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2783,3933,3188,2452,1800,1567,6716,5640,3367,9808,1729,1142,1391,1653,4049,9699,2237,7462,1792
,Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2585,3428,3037,2724,2084,1865,6014,5761,3949,9703,1725,1078,1586,1631,3857,9765,2304,7461,1931
,Much more able,5410,481,395,508,480,297,476,596,354,282,154,423,323,154,217,269,918,1268,1080,949,668,526,2187,2028,1194,3663,463,369,388,526,1300,3530,802,2727,533
,,0.34,0.48,0.39,0.48,0.43,0.28,0.47,0.54,0.35,0.28,0.15,0.42,0.28,0.14,0.22,0.26,0.36,0.37,0.36,0.35,0.32,0.28,0.36,0.35,0.3,0.38,0.27,0.34,0.24,0.32,0.34,0.36,0.35,0.37,0.28
,,,bdehijklmno,eijlmno,bdehijklmno,behijlmno,jmn,behijklmno,abcdefhijklmno,eijlmno,jmn,,ehijlmno,jmn,,jm,jmn,efi,efi,efi,fi,f,,efi,efi,,bcde,,bd,,bd,e,ae,e,ae,
,Slightly more able,6005,364,475,354,358,381,387,350,349,449,446,381,389,472,446,403,932,1289,1128,1084,786,785,2222,2212,1571,3717,660,394,662,572,1429,3772,938,2834,753
,,0.38,0.36,0.46,0.33,0.32,0.36,0.38,0.32,0.34,0.45,0.44,0.38,0.34,0.44,0.44,0.39,0.36,0.38,0.37,0.4,0.38,0.42,0.37,0.38,0.4,0.38,0.38,0.37,0.42,0.35,0.37,0.39,0.41,0.38,0.39
,,,g,acdefghklo,,,g,cdgl,,,acdefghklo,acdefghklo,cdgl,,acdefghklo,acdefghklo,cdghl,,,,acg,,abcegh,,a,acg,e,,,abce,,,,ad,,
,About the same,2476,104,115,115,134,223,66,128,142,108,256,102,213,293,210,267,362,476,484,403,385,366,839,886,751,1412,303,145,349,268,615,1457,323,1134,371
,,0.16,0.1,0.11,0.11,0.12,0.21,0.06,0.12,0.14,0.11,0.25,0.1,0.18,0.27,0.21,0.26,0.14,0.14,0.16,0.15,0.18,0.2,0.14,0.15,0.19,0.15,0.18,0.13,0.22,0.16,0.16,0.15,0.14,0.15,0.19
,,,f,f,f,f,abcdfghik,,f,acfik,f,abcdefghikln,f,abcdfghik,abcdefghikln,abcdfghik,abcdefghikln,,,abg,,abcdgh,abcdgh,,bg,abcdgh,,ac,,abce,ac,c,,,,abcd
,Slightly less able,941,36,21,50,80,103,65,19,100,82,40,56,130,81,24,53,182,209,191,148,108,103,391,339,211,522,123,82,84,129,265,534,133,401,131
,,0.06,0.04,0.02,0.05,0.07,0.1,0.06,0.02,0.1,0.08,0.04,0.06,0.11,0.08,0.02,0.05,0.07,0.06,0.06,0.05,0.05,0.06,0.07,0.06,0.05,0.05,0.07,0.08,0.05,0.08,0.07,0.05,0.06,0.05,0.07
,,,bg,,bgn,abcgjno,abcdfgjkno,abgjn,,abcdfgjkno,abcgjkno,bgn,abgn,abcdfgijkmno,abcgjno,,bgn,defhi,,,,,,ei,,,,ad,ad,,ad,bd,,,,bd
,Much less able,449,14,6,17,40,36,20,11,60,57,21,22,93,18,11,24,108,107,77,79,49,29,215,156,79,237,68,50,35,59,121,267,51,216,49
,,0.03,0.01,0.01,0.02,0.04,0.03,0.02,0.01,0.06,0.06,0.02,0.02,0.08,0.02,0.01,0.02,0.04,0.03,0.03,0.03,0.02,0.02,0.04,0.03,0.02,0.02,0.04,0.05,0.02,0.04,0.03,0.03,0.02,0.03,0.03
,,,,,b,abcfgjkmn,abcfgmn,b,,abcdefgjkmno,abcdefgjkmno,bg,bg,abcdefgijkmno,b,,bgn,bcdefhi,fi,f,fi,,,cefhi,fi,,,ad,ad,,ad,c,,,,
,Don't know,442,9,14,22,15,21,9,6,13,27,93,27,12,50,100,25,82,78,78,61,87,55,160,139,142,152,108,37,68,77,127,206,57,149,94
,,0.03,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.03,0.09,0.03,0.01,0.05,0.1,0.02,0.03,0.02,0.03,0.02,0.04,0.03,0.03,0.02,0.04,0.02,0.06,0.03,0.04,0.05,0.03,0.02,0.02,0.02,0.05
,,,,,afgl,g,afg,,,,abdfghl,abcdefghiklmo,abdfghl,,abcdefghiklo,abcdefghiklmo,afgl,bdh,,,,bcdgh,,,,bcdgh,,acd,a,a,a,bd,,,,abcd
,NET: More able,11414,846,870,862,838,678,863,946,703,731,600,805,713,625,663,672,1851,2558,2207,2033,1454,1311,4409,4240,2765,7380,1124,763,1050,1097,2729,7301,1740,5562,1285
,,0.73,0.84,0.85,0.81,0.76,0.64,0.84,0.85,0.69,0.73,0.59,0.8,0.61,0.59,0.66,0.65,0.72,0.75,0.73,0.75,0.7,0.7,0.73,0.74,0.7,0.76,0.65,0.71,0.66,0.67,0.71,0.75,0.76,0.75,0.67
,,,dehijklmno,cdehijklmno,dehijlmno,ehjlmno,jm,cdehijklmno,cdehijklmno,ejlmo,ejlmno,,dehijlmno,,,jlm,jm,,aefi,ei,aefi,,,efi,efi,,bcde,,bd,,,e,ae,ae,ae,
,NET: Less able,1390,49,26,67,120,140,85,30,159,139,61,78,223,99,36,78,290,316,268,227,158,132,606,495,290,759,191,133,120,188,386,801,184,617,181
,,0.09,0.05,0.03,0.06,0.11,0.13,0.08,0.03,0.16,0.14,0.06,0.08,0.19,0.09,0.04,0.07,0.11,0.09,0.09,0.08,0.08,0.07,0.1,0.09,0.07,0.08,0.11,0.12,0.08,0.12,0.1,0.08,0.08,0.08,0.09
,,,bg,,bgn,abcfgjkno,abcfgjkmno,abgn,,abcdfgjkmno,abcdfgjkmno,bgn,abgn,abcdefghijkmno,abcgjn,,abgn,bcdefhi,efi,fi,,,,defhi,i,,,ad,ad,,ad,bcd,,,,
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k,l,m,n,o - a,b,c,d,e,f,g,h,i - a,b,c,d,e - a,b,c,d,e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
