Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,Homeless and Police PR - W184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q3_5. Investigating major crimes : To what extent do you think that, generally, the police in the UK do a good or bad job at each of the following?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Male,Female,18-24,25-34,35-44,45-54,55-64,65+,NET: 18-34,NET: 35-54,NET: 55+,Northern Ireland,Scotland,North-West,North-East,Yorkshire and the Humber,Wales,West Midlands,East Midlands,South-West,South-East,Eastern,London,NET: England,AB,C1,C2,DE,Conservative,Labour,Liberal Democrat,The Brexit Party,Green,SNP,Plaid Cymru,Another party,Did not vote,Leave,Remain,Did not vote
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,j,k,l,m,a,b,c,d,a,b,c,d,e,f,*g,h,i,a,b,c
,Unweighted Total,2235,1055,1175,249,394,308,385,386,513,643,693,899,52,165,248,106,214,136,240,178,190,276,156,274,1882,578,466,308,873,696,558,111,39,35,55,13,44,522,811,716,593
,Total,2235,1088,1142,248,387,358,396,331,516,635,753,847,67,189,249,91,182,108,193,158,193,304,208,293,1871,608,626,451,541,707,552,112,35,38,58,7,56,507,788,750,593
,Very good job,325,153,172,30,92,47,40,49,67,122,86,116,6,23,41,13,26,9,30,27,23,48,28,49,287,105,76,74,67,116,76,19,5,3,2,1,9,63,115,105,84
,,0.15,0.14,0.15,0.12,0.24,0.13,0.1,0.15,0.13,0.19,0.11,0.14,0.1,0.12,0.16,0.15,0.14,0.08,0.16,0.17,0.12,0.16,0.13,0.17,0.15,0.17,0.12,0.16,0.12,0.16,0.14,0.17,0.14,0.09,0.04,0.16,0.17,0.12,0.15,0.14,0.14
,,,,,,acdefhi,,,d,,acdfhi,,,,,f,,,,f,f,,f,,f,f,bd,,,,f,f,f,,,,,f,,,,
,Fairly good job,1027,511,513,97,152,147,190,155,286,249,336,441,31,86,97,42,82,56,84,75,102,133,99,138,853,285,288,192,256,350,266,51,10,24,33,4,27,201,365,374,246
,,0.46,0.47,0.45,0.39,0.39,0.41,0.48,0.47,0.55,0.39,0.45,0.52,0.47,0.46,0.39,0.46,0.45,0.51,0.44,0.47,0.53,0.44,0.48,0.47,0.46,0.47,0.46,0.43,0.47,0.5,0.48,0.46,0.29,0.62,0.57,0.53,0.47,0.4,0.46,0.5,0.42
,,,,,,,,abg,bg,abcdegh,,g,abcgh,,,,,,c,,,cjm,,,,c,,,,,di,di,,,di,di,,,,,c,
,Fairly bad job,427,226,200,64,72,76,76,55,84,136,152,139,13,36,41,22,42,12,42,24,39,57,39,58,366,107,122,97,101,124,104,22,9,6,6,0,8,114,138,129,140
,,0.19,0.21,0.18,0.26,0.19,0.21,0.19,0.17,0.16,0.21,0.2,0.16,0.2,0.19,0.16,0.25,0.23,0.11,0.22,0.15,0.2,0.19,0.19,0.2,0.2,0.18,0.19,0.21,0.19,0.18,0.19,0.19,0.27,0.16,0.11,0,0.14,0.23,0.18,0.17,0.24
,,,b,,bdefi,,,,,,fi,,,,f,,f,fh,,f,,f,f,,f,f,,,,,,,,f,,,,,af,,,ab
,Very bad job,248,132,116,34,34,57,36,45,41,68,93,86,7,18,55,9,17,12,19,18,11,36,24,24,211,75,61,57,55,78,58,12,8,1,6,*,6,59,107,75,60
,,0.11,0.12,0.1,0.14,0.09,0.16,0.09,0.14,0.08,0.11,0.12,0.1,0.11,0.09,0.22,0.1,0.09,0.11,0.1,0.11,0.06,0.12,0.11,0.08,0.11,0.12,0.1,0.13,0.1,0.11,0.11,0.11,0.22,0.02,0.1,0.05,0.1,0.12,0.14,0.1,0.1
,,,,,bf,,bdfgi,,bdf,,,f,,,,bdefghijklm,,,,,,,i,i,,i,,,,,,,,abei,,,,,,bc,,
,Don't know,208,66,141,22,37,31,54,27,38,59,85,64,9,25,16,5,14,20,18,14,17,30,18,23,155,36,78,31,62,38,47,8,3,4,10,2,7,69,63,68,63
,,0.09,0.06,0.12,0.09,0.1,0.09,0.14,0.08,0.07,0.09,0.11,0.08,0.13,0.13,0.06,0.05,0.08,0.19,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.06,0.12,0.07,0.11,0.05,0.09,0.07,0.08,0.1,0.17,0.26,0.12,0.14,0.08,0.09,0.11
,,,,a,,,,cefgi,,,,fi,,,cdm,,,,cdeghijklm,,,,,,,,,ac,,ac,,a,,,,abc,,,abc,,,
,Sum: Good job,1352,664,685,127,244,193,229,204,353,371,423,557,38,110,138,55,109,64,114,103,126,181,127,187,1140,390,364,266,323,466,343,71,15,27,36,5,36,264,479,478,330
,,0.6,0.61,0.6,0.51,0.63,0.54,0.58,0.62,0.68,0.59,0.56,0.66,0.56,0.58,0.55,0.61,0.6,0.59,0.59,0.65,0.65,0.6,0.61,0.64,0.61,0.64,0.58,0.59,0.6,0.66,0.62,0.63,0.42,0.71,0.62,0.69,0.64,0.52,0.61,0.64,0.56
,,,,,,ach,,,ac,acdegh,,,acdgh,,,,,,,,c,c,,,c,,b,,,,di,di,di,,di,,,,,,c,
,Sum: Bad job,675,358,316,98,106,133,112,100,126,204,245,226,21,54,96,31,59,24,61,42,50,93,63,82,576,181,183,154,156,202,162,34,17,7,12,*,14,173,245,204,200
