<< Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
P037330 - KA Fraud Victims ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q10_4. I trust people less since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE: Those who lost money as a result (at Q1b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender,,Age,,,,,,Region,,,,,,,,,,,,Cities,,,,,,,,SEG,,Ethnicity,,,,,Ethnicity - South Asian,
,Total,Male (a),Female (b),18-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Northern Ireland (a),Scotland (b),North-West (c),North-East (d),Yorkshire & The Humber (e),Wales (f),West Midlands (g),East Midlands (h),South-West (i),South-East (j),East of England (k),London (l),Birmingham (a),Manchester (b),Nottingham (c),Bristol (d),Leeds (e),Liverpool (f),Cardiff (g),Edinburgh (h),ABC1 (a),C2DE (b),White (a),Asian (b),Black (c),Mixed (d),Other (e),South Asian (a),Not South Asian (b)
Unweighted row,1335,655,676,169,294,251,230,179,212,35,123,191,46,110,79,105,102,99,168,84,193,88,116,62,64,70,73,64,61,892,439,976,143,124,75,17,117,1218
Total,1322,646,672,166,276,234,223,176,248,38,100,162,50,115,60,120,93,103,174,112,195,100,99,56,67,72,61,49,49,877,441,969,142,122,72,16,116,1205
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strongly agree (5.00),394,181,212,55,98,82,50,52,57,12,34,40,18,40,17,36,34,35,45,28,55,34,28,21,24,28,13,14,19,258,135,271,50,47,21,5,42,352
,0.3,0.28,0.32,0.33,0.36,0.35,0.22,0.29,0.23,0.31,0.34,0.25,0.37,0.35,0.28,0.3,0.36,0.34,0.26,0.25,0.28,0.34,0.28,0.37,0.36,0.39,0.21,0.28,0.38,0.29,0.31,0.28,0.35,0.38,0.29,0.3,0.36,0.29
,,,, df, df, df,,,,,,,,,,, c,,,,,,, f,, f,,, f,,,,, a,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agree (4.00),575,296,277,65,113,90,104,81,122,13,37,73,23,47,28,43,37,49,82,52,91,32,46,22,32,26,26,23,17,387,186,440,59,37,29,10,50,525
,0.44,0.46,0.41,0.39,0.41,0.39,0.46,0.46,0.49,0.34,0.37,0.45,0.46,0.41,0.47,0.36,0.39,0.48,0.47,0.47,0.47,0.32,0.47,0.4,0.47,0.36,0.42,0.47,0.34,0.44,0.42,0.45,0.42,0.3,0.4,0.63,0.43,0.44
,,,,,,,,, ac,,,,,,,,,,,,,, a,,,,,,,,, c,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
