Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q10 (Summary - Net More comfortable) - Compared with 10 years ago (i.e. 2012), do you think women in your country feel more or less comfortable discussing a gender-based crime (e.g. domestic abuse, forced marriage, female genital mutilation) with each of the following?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Brazil,China,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Russia,Saudi Arabia,Turkey,UK,Ukraine,USA,18-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Working (full time or part time),Not working,In education,Retired,"Other (incl. house wife, full time carer)",Single,NET: In a relationship,Living as a couple/Co-habiting,Married / civil partnership,Separated/divorced/widowed
,Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,a,b,c,d,e,f,g,h,i,a,b,c,d,e,a,b,c,d,e
,Unweighted Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2783,3933,3188,2452,1800,1567,6716,5640,3367,9808,1729,1142,1391,1653,4049,9699,2237,7462,1792
,Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2585,3428,3037,2724,2084,1865,6014,5761,3949,9703,1725,1078,1586,1631,3857,9765,2304,7461,1931
,With a friend,10764,774,807,776,866,657,805,894,787,667,423,745,819,673,496,574,1884,2515,2092,1835,1270,1168,4399,3927,2438,6964,1084,777,917,1022,2700,6800,1587,5213,1170
,,0.68,0.77,0.79,0.73,0.78,0.62,0.79,0.81,0.77,0.66,0.42,0.74,0.71,0.63,0.49,0.55,0.73,0.73,0.69,0.67,0.61,0.63,0.73,0.68,0.62,0.72,0.63,0.72,0.58,0.63,0.7,0.7,0.69,0.7,0.61
,,,ceijlmno,ceijklmno,eijmno,ceijklmno,jno,ceijklmno,aceijklmno,ceijlmno,ejno,,eijmno,eijmno,jno,j,jn,cdefhi,cdefhi,efi,efi,,,cdefhi,efi,,bde,d,bde,,d,e,e,e,e,
,With a partner,10205,684,782,788,879,692,691,805,755,604,444,699,807,560,508,508,1679,2369,2037,1783,1254,1082,4048,3821,2336,6758,943,656,844,1004,2329,6762,1508,5254,1035
,,0.65,0.68,0.76,0.74,0.79,0.65,0.68,0.73,0.74,0.6,0.44,0.69,0.7,0.52,0.5,0.49,0.65,0.69,0.67,0.65,0.6,0.58,0.67,0.66,0.59,0.7,0.55,0.61,0.53,0.62,0.6,0.69,0.65,0.7,0.54
,,,ijmno,aefijklmno,aefijklmno,acefghijklmno,ijmno,ijmno,aefijmno,aefijklmno,jmno,,ijmno,eijmno,j,j,j,efi,adefhi,efi,efi,,,aefi,efi,,bcde,,bd,,bd,e,ace,ae,ace,
,Anonymously on social media,10031,718,754,783,707,619,720,845,790,487,544,672,708,552,641,491,1655,2305,2015,1779,1261,1016,3960,3793,2277,6669,987,630,825,921,2438,6430,1438,4992,1078
,,0.64,0.71,0.74,0.73,0.64,0.58,0.7,0.76,0.78,0.48,0.54,0.66,0.61,0.52,0.64,0.47,0.64,0.67,0.66,0.65,0.61,0.54,0.66,0.66,0.58,0.69,0.57,0.58,0.52,0.56,0.63,0.66,0.62,0.67,0.56
,,,deijklmno,deijklmno,deijklmno,eijmo,ijmo,deijklmno,adefijklmno,abcdefijklmno,,io,eijlmo,ijmo,o,eijmo,,efi,aefi,efi,efi,fi,,efi,efi,f,bcde,d,d,,d,e,ace,e,ace,
,"With a family member (e.g. parent, sibling)",9873,710,731,710,825,656,750,815,772,519,391,694,714,602,462,521,1608,2233,1999,1721,1227,1085,3841,3720,2312,6538,937,650,821,926,2308,6406,1418,4988,1079
,,0.63,0.7,0.71,0.66,0.75,0.62,0.73,0.73,0.76,0.52,0.39,0.69,0.62,0.56,0.46,0.5,0.62,0.65,0.66,0.63,0.59,0.58,0.64,0.65,0.59,0.67,0.54,0.6,0.52,0.57,0.6,0.66,0.62,0.67,0.56
,,,eijlmno,ceijlmno,eijlmno,aceijklmno,ijmno,ceijklmno,ceijklmno,abceijklmno,jn,,eijlmno,ijmno,ijno,j,j,efi,aefi,adefi,efi,,,efi,aefi,,bcde,,bd,,d,e,ace,e,ace,
,With the police,7952,606,720,665,653,432,649,489,564,284,267,629,689,465,454,387,1243,1809,1569,1413,1004,915,3052,2982,1918,5339,704,486,717,706,1743,5284,1127,4157,859
,,0.51,0.6,0.7,0.62,0.59,0.41,0.64,0.44,0.55,0.28,0.26,0.62,0.59,0.44,0.45,0.37,0.48,0.53,0.52,0.52,0.48,0.49,0.51,0.52,0.49,0.55,0.41,0.45,0.45,0.43,0.45,0.54,0.49,0.56,0.44
,,,eghijmno,acdefghijklmno,eghijmno,egijmno,ij,deghijlmno,ijo,egijmno,,,eghijmno,egijmno,ijo,eijo,ij,,aefgi,aei,aei,,,ai,aei,,bcde,,b,b,,,ace,ae,abce,
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k,l,m,n,o - a,b,c,d,e,f,g,h,i - a,b,c,d,e - a,b,c,d,e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
