,,,Gender,,Age,,,,,,,,,Regions,,,,,,,,,,,,Social grade,,Education,,Work Status,,,,,,,,Household makeup,,,Children,,,,,
,,Total,Male,Female,18-24,25-34,35-44,45-54,55-64,65+,NET: 18-34,NET: 35-54,NET: 55+,Scotland,North-West,North-East,Yorkshire and the Humber,Wales,West Midlands,East Midlands,South-West,South-East,Eastern,London,NET: England,ABC1,C2DE,Non-graduates,Graduates,Working full time,Working part time,Not working but seeking work or temporarily unemployed or sick,Not working and not seeking work,Student,Retired on a state pension only,Retired with a private pension,"House person, housewife, househusband, etc.",No children (0-17) or people aged 65+,Children between the ages 0-17,People aged 65+,No children aged 18 or under,Net yes,"Yes, children aged under 5 years old","Yes, children aged 5-10 years old","Yes, children aged 11-15 years old","Yes, children aged 16-18 years old"
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,j,k,l,a,b,a,b,a,b,c,d,e,f,g,h,a,b,c,a,b,c,d,e,f
,Websites promoting suicide,156,74,83,28,46,34,23,9,16,74,58,25,11,15,7,6,8,18,13,13,12,9,44,137,95,61,53,98,82,22,4,9,12,6,8,12,78,58,22,87,68,25,26,27,12
,,0.07,0.07,0.07,0.11,0.12,0.1,0.06,0.03,0.03,0.12,0.08,0.03,0.06,0.06,0.08,0.03,0.07,0.09,0.08,0.07,0.04,0.04,0.15,0.07,0.08,0.06,0.05,0.09,0.08,0.08,0.04,0.11,0.12,0.05,0.02,0.07,0.08,0.08,0.04,0.06,0.09,0.11,0.09,0.09,0.07
,,,,,defi,defhi,efi,ei,,,defhi,efi,,,,,,,di,di,,,,abdefghijl,di,,,,a,g,g,,g,g,,,g,c,c,,,a,a,,,
,Computer generated images or cartoons of child sexual abuse,140,84,56,31,30,34,21,11,13,61,55,23,8,14,5,6,3,19,10,13,18,12,33,129,81,58,46,88,84,20,6,5,12,4,6,3,53,71,17,59,75,26,35,31,14
,,0.06,0.08,0.05,0.13,0.08,0.1,0.05,0.03,0.03,0.1,0.08,0.03,0.04,0.06,0.06,0.03,0.02,0.1,0.06,0.07,0.06,0.06,0.11,0.07,0.07,0.06,0.04,0.08,0.08,0.07,0.06,0.07,0.11,0.03,0.02,0.02,0.05,0.1,0.03,0.04,0.1,0.11,0.12,0.1,0.08
,,,b,,bdefhi,efi,defi,fi,,,defi,efi,,,,,,,ade,,,,,abdeil,d,,,,a,gh,gh,g,g,gh,,,,c,ac,,,a,a,a,a,a
,Child sexual abuse images or videos (child pornography),137,82,55,35,37,24,24,6,11,72,48,17,10,12,8,9,7,16,10,9,13,11,32,121,79,59,44,88,71,20,5,12,13,9,5,3,57,67,16,62,71,26,31,37,13
,,0.06,0.08,0.05,0.14,0.1,0.07,0.06,0.02,0.02,0.12,0.07,0.02,0.05,0.05,0.09,0.05,0.07,0.08,0.06,0.05,0.04,0.05,0.11,0.06,0.06,0.06,0.04,0.08,0.07,0.08,0.05,0.14,0.13,0.07,0.01,0.02,0.06,0.1,0.03,0.04,0.1,0.11,0.1,0.12,0.07
,,,b,,cdefhi,efi,efi,efi,,,cdefhi,efi,,,,,,,,,,,,abdhijl,,,,,a,gh,gh,g,abcgh,gh,gh,,,c,ac,,,a,a,a,a,
,Terrorist websites,114,74,40,30,26,22,24,7,5,56,46,12,8,9,8,4,7,18,8,9,14,11,18,99,66,48,41,68,56,17,10,4,14,4,1,8,48,59,9,54,58,25,20,26,5
,,0.05,0.07,0.04,0.13,0.07,0.06,0.06,0.02,0.01,0.09,0.06,0.01,0.04,0.04,0.09,0.02,0.06,0.09,0.05,0.04,0.04,0.05,0.06,0.05,0.05,0.05,0.04,0.06,0.06,0.06,0.1,0.05,0.13,0.03,*,0.05,0.05,0.08,0.02,0.04,0.08,0.11,0.07,0.08,0.03
,,,b,,bcdefhi,efi,efi,efi,,,efhi,efi,,,,bd,,d,bdil,,,,,d,d,,,,a,g,g,g,g,abfgh,g,,g,c,ac,,,af,af,a,af,
,None of these,1434,630,803,68,179,203,263,270,451,247,466,721,136,165,55,128,69,106,105,141,222,170,137,1228,751,683,769,644,600,160,53,45,38,98,313,127,607,376,471,1039,391,114,149,167,108
,,0.66,0.59,0.72,0.28,0.47,0.58,0.68,0.83,0.89,0.4,0.63,0.87,0.72,0.66,0.6,0.7,0.63,0.54,0.66,0.72,0.73,0.81,0.46,0.65,0.62,0.7,0.74,0.6,0.6,0.6,0.53,0.54,0.35,0.82,0.9,0.76,0.63,0.54,0.86,0.73,0.53,0.49,0.5,0.54,0.62
,,,,a,,ag,abg,abcg,abcdgh,abcdegh,a,abg,abcdgh,cfk,fk,k,fk,k,,fk,cfk,cfkl,bcdefgikl,,fk,,a,b,,e,e,e,e,,abcde,abcdefh,abcde,b,,ab,bcdef,,,,,bcd
,Prefer not to say,174,100,74,41,39,27,30,14,22,81,57,36,12,19,7,15,10,22,18,11,29,1,30,152,104,70,76,86,80,24,14,8,20,3,18,7,86,64,29,105,65,20,26,30,9
,,0.08,0.09,0.07,0.17,0.1,0.08,0.08,0.04,0.04,0.13,0.08,0.04,0.06,0.08,0.07,0.08,0.09,0.11,0.11,0.06,0.09,0.01,0.1,0.08,0.09,0.07,0.07,0.08,0.08,0.09,0.14,0.09,0.19,0.03,0.05,0.04,0.09,0.09,0.05,0.07,0.09,0.09,0.09,0.1,0.05
,,,b,,bcdefhi,efi,ei,ei,,,cdefhi,efi,,j,j,j,j,j,j,j,j,j,,j,j,,,,,,,afgh,,abfgh,,,,c,c,,,,,,,
,NET Any,576,335,241,133,160,119,94,40,31,293,213,71,42,66,30,40,30,67,36,42,55,39,129,504,355,221,200,352,316,81,33,31,48,18,17,32,274,260,47,281,285,99,125,110,58
,,0.26,0.31,0.22,0.55,0.42,0.34,0.24,0.12,0.06,0.47,0.29,0.09,0.22,0.26,0.33,0.22,0.28,0.34,0.23,0.22,0.18,0.18,0.44,0.27,0.29,0.23,0.19,0.33,0.32,0.31,0.33,0.37,0.45,0.15,0.05,0.19,0.28,0.37,0.09,0.2,0.38,0.43,0.42,0.36,0.33
,,,b,,bcdefghi,cdefhi,defi,efi,fi,,cdefhi,efi,,,i,adhij,,i,adghijl,,,,,abcdefghijl,ij,b,,,a,fgh,fgh,fgh,fgh,abfgh,g,,g,c,ac,,,a,a,a,a,a
,Base for stats,576,335,241,133,160,119,94,40,31,293,213,71,42,66,30,40,30,67,36,42,55,39,129,504,355,221,200,352,316,81,33,31,48,18,17,32,274,260,47,281,285,99,125,110,58
,Mean number of websites/ type of content selected,2.4,2.4,2.4,2.5,2.3,2.3,2.3,2.1,3.3,2.4,2.3,2.6,2.1,2.3,2.5,2.1,1.9,2.5,2.4,2.6,2.4,2.5,2.4,2.4,2.3,2.5,2.3,2.4,2.4,2.4,2.2,2.3,2.4,2.6,3.2,1.9,2.2,2.4,3.2,2.4,2.3,2.3,2.3,2.5,2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ab,,,,,,
,Standard Deviation,1.691,1.706,1.672,1.833,1.45,1.373,1.746,1.913,2.497,1.635,1.544,2.249,1.13,1.633,1.829,1.774,0.993,2.063,1.504,2.124,1.776,1.882,1.532,1.756,1.546,1.895,1.809,1.642,1.547,1.785,1.849,1.807,1.817,2.605,2.148,1.407,1.609,1.589,2.38,1.823,1.513,1.462,1.426,1.712,1.036
,Standard Error,0.067,0.087,0.107,0.141,0.109,0.123,0.189,0.273,0.481,0.088,0.107,0.258,0.179,0.189,0.286,0.244,0.184,0.229,0.235,0.354,0.222,0.333,0.129,0.074,0.078,0.123,0.123,0.083,0.082,0.16,0.349,0.33,0.28,0.752,0.537,0.276,0.092,0.095,0.321,0.102,0.087,0.138,0.122,0.162,0.142
,Error variance,*,0.01,0.01,0.02,0.01,0.02,0.04,0.07,0.23,0.01,0.01,0.07,0.03,0.04,0.08,0.06,0.03,0.05,0.06,0.13,0.05,0.11,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.03,0.12,0.11,0.08,0.57,0.29,0.08,0.01,0.01,0.1,0.01,0.01,0.02,0.01,0.03,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
