Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q10_4. With a family member (e.g. parent, sibling): Compared with 10 years ago (i.e. 2012), do you think women in your country feel more or less comfortable discussing a gender-based crime (e.g. domestic abuse, forced marriage, female genital mutilation) with each of the following?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Brazil,China,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Russia,Saudi Arabia,Turkey,UK,Ukraine,USA,18-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Working (full time or part time),Not working,In education,Retired,"Other (incl. house wife, full time carer)",Single,NET: In a relationship,Living as a couple/Co-habiting,Married / civil partnership,Separated/divorced/widowed
,Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,a,b,c,d,e,f,g,h,i,a,b,c,d,e,a,b,c,d,e
,Unweighted Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2783,3933,3188,2452,1800,1567,6716,5640,3367,9808,1729,1142,1391,1653,4049,9699,2237,7462,1792
,Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2585,3428,3037,2724,2084,1865,6014,5761,3949,9703,1725,1078,1586,1631,3857,9765,2304,7461,1931
,Much more comfortable,4688,329,319,398,479,309,372,403,403,236,126,377,356,183,192,206,813,1058,1009,777,554,477,1871,1786,1031,3155,432,318,332,450,1099,3080,657,2423,464
,,0.3,0.33,0.31,0.37,0.43,0.29,0.36,0.36,0.4,0.23,0.13,0.37,0.31,0.17,0.19,0.2,0.31,0.31,0.33,0.29,0.27,0.26,0.31,0.31,0.26,0.33,0.25,0.3,0.21,0.28,0.28,0.32,0.28,0.32,0.24
,,,ijmno,ijmno,abeijlmno,abcefgijklmno,ijmno,beijlmno,beijlmno,abeijlmno,jmno,,abeijlmno,ijmno,j,j,j,defi,defi,bdefghi,fi,,,defi,defi,,bcde,d,bd,,d,e,ace,e,ace,
,Slightly more comfortable,5185,381,412,312,347,347,378,411,370,283,265,318,357,420,270,316,796,1175,990,944,672,608,1971,1934,1281,3383,506,331,489,476,1209,3326,761,2565,615
,,0.33,0.38,0.4,0.29,0.31,0.33,0.37,0.37,0.36,0.28,0.26,0.31,0.31,0.39,0.27,0.3,0.31,0.34,0.33,0.35,0.32,0.33,0.33,0.34,0.32,0.35,0.29,0.31,0.31,0.29,0.31,0.34,0.33,0.34,0.32
,,,cdeijklno,cdeijklno,,jn,ijn,cdeijklno,cdeijklno,cdijklno,,,jn,jn,cdeijklno,,j,,a,,a,,,,a,,bcde,,,,,,a,,ae,
,About the same,3457,146,225,218,163,218,113,186,98,186,372,192,268,346,364,361,474,656,637,621,562,507,1131,1258,1069,1977,417,186,506,372,823,2076,484,1592,529
,,0.22,0.14,0.22,0.2,0.15,0.21,0.11,0.17,0.1,0.18,0.37,0.19,0.23,0.32,0.36,0.35,0.18,0.19,0.21,0.23,0.27,0.27,0.19,0.22,0.27,0.2,0.24,0.17,0.32,0.23,0.21,0.21,0.21,0.21,0.27
