Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ethnicity. How would you describe your ethnic origin?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,8976,4015,4913,933,1712,1863,1359,1747,1362,2645,3222,3109,3004,5972,2822,2887,1590,1020,657,5709,3267,4583,4333,7653,268,480,491,50,5832,3039,1799,1444,8064,745,5632,3041,6650,2219,4644,1463,1895,1286,3177,5455,3218,5114,3545
,Total,8976,4315,4613,1174,1488,1427,1447,1399,2041,2662,2874,3440,3098,5878,2005,2962,1812,1367,830,4968,4008,5127,3774,7598,168,713,304,160,5726,3137,1774,1545,8083,710,5517,3117,6466,2379,4459,1404,1782,1273,3373,5280,3367,4995,3624
,White English / Welsh / Scottish / Northern Irish / British,7172,3530,3612,660,1071,1033,1211,1263,1933,1731,2245,3196,2288,4884,1516,2380,1507,1074,695,3896,3277,4407,2713,7172,0,0,0,0,4432,2662,1496,1353,6505,567,4320,2577,5048,2028,3212,1037,1345,829,3006,4116,2820,3782,3088
,,0.8,0.82,0.78,0.56,0.72,0.72,0.84,0.9,0.95,0.65,0.78,0.93,0.74,0.83,0.76,0.8,0.83,0.79,0.84,0.78,0.82,0.86,0.72,0.94,0,0,0,0,0.77,0.85,0.84,0.88,0.8,0.8,0.78,0.83,0.78,0.85,0.72,0.74,0.76,0.65,0.89,0.78,0.84,0.76,0.85
,,,b,,,ag,ag,abcgh,abcdgh,abcdeghi,a,abcg,abcdegh,,a,,af,abdf,,abdf,a,adf,b,,bcde,,,,,,a,a,abc,,,,a,,a,d,d,ad,,abcd,,a,,a
,White Irish,136,69,65,20,22,32,25,20,18,42,57,38,55,81,36,43,27,14,17,79,58,64,72,136,0,0,0,0,71,61,37,25,120,13,96,39,112,24,88,32,29,27,41,90,44,83,48
,,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0,0,0,0,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01
,,,,,,,fi,f,,,,fi,,,,,,,,,,,,a,bcd,,,,,,a,a,,,,,,b,,e,e,,e,,,,,
,Gypsy or Irish Traveller,10,5,3,6,0,2,2,0,0,6,4,0,3,7,3,3,3,0,1,6,4,7,3,10,0,0,0,0,6,4,3,1,6,3,6,3,8,2,9,2,2,5,0,8,1,7,3
,,*%,*%,*%,0.01,0,*%,*%,0,0,*%,*%,0,*%,*%,*%,*%,*%,0,*%,*%,*%,*%,*%,*%,0,0,0,0,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,0,*%,*%,*%,*%
,,,,,befhi,,i,,,,bei,i,,,,,,,,,,,,,,,,,,,,,,,a,,,,,e,e,,e,,,,,
,Any other White background,279,124,153,41,48,70,50,40,30,89,120,70,105,174,61,93,56,55,15,153,126,124,153,279,0,0,0,0,205,70,43,28,242,28,153,112,188,87,151,37,52,61,87,141,128,174,97
,,0.03,0.03,0.03,0.03,0.03,0.05,0.03,0.03,0.01,0.03,0.04,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.03,0.03,0.02,0.04,0.04,0,0,0,0,0.04,0.02,0.02,0.02,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.05,0.03,0.03,0.04,0.03,0.03
,,,,,fi,fi,befgi,fi,f,,fi,efi,,,,,,,e,,,,,a,bcd,,,,,bcd,,,,,,,a,,,e,,,abce,,,a,b,
,Mixed White and Black Caribbean,46,20,24,6,14,11,7,4,3,21,18,7,18,28,11,11,9,6,9,22,24,24,20,0,46,0,0,0,24,20,13,10,36,8,25,18,33,12,30,7,16,6,10,27,16,29,16
,,0.01,*%,0.01,0.01,0.01,0.01,*%,*%,*%,0.01,0.01,*%,0.01,*%,0.01,*%,0.01,*%,0.01,*%,0.01,*%,0.01,0,0.27,0,0,0,*%,0.01,0.01,0.01,*%,0.01,*%,0.01,0.01,0.01,0.01,0.01,0.01,*%,*%,0.01,*%,0.01,*%
,,,,,,efi,efi,,,,efi,fi,,,,,,,,bf,,,,,,acde,,,,,,,,,a,,,,,e,,e,,,,,,
,Mixed White and Black African,33,13,16,10,11,6,2,1,3,21,9,3,18,15,10,14,2,6,1,24,9,12,21,0,33,0,0,0,20,13,7,6,25,7,24,9,29,5,28,12,9,7,3,24,9,27,6
,,*%,*%,*%,0.01,0.01,*%,*%,*%,*%,0.01,*%,*%,0.01,*%,*%,*%,*%,*%,*%,*%,*%,*%,0.01,0,0.2,0,0,0,*%,*%,*%,*%,*%,0.01,*%,*%,*%,*%,0.01,0.01,*%,0.01,*%,*%,*%,0.01,*%
,,,,,defhi,defhi,ei,,,,defhi,,,b,,,,,,,,,,a,,acde,,,,,,,,,a,,,,,e,e,e,e,,,,b,
,Mixed White and Asian,49,18,31,23,11,8,3,3,2,33,11,5,17,32,16,16,10,5,3,32,17,24,25,0,49,0,0,0,28,19,13,5,39,9,28,20,33,14,36,12,16,8,12,25,22,35,13
,,0.01,*%,0.01,0.02,0.01,0.01,*%,*%,*%,0.01,*%,*%,0.01,0.01,0.01,0.01,0.01,*%,*%,0.01,*%,*%,0.01,0,0.29,0,0,0,*%,0.01,0.01,*%,*%,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,*%,*%,0.01,0.01,*%
,,,,,bcdefhi,efi,fi,,,,cdefhi,,,,,,,,,,,,,,,acde,,,,,,,,,a,,,,,e,e,e,,,,,b,
,Any other mixed/multiple ethnic background,39,20,19,15,7,7,6,1,3,22,13,3,17,22,12,14,6,5,2,26,13,19,20,0,39,0,0,0,23,15,11,7,31,7,23,14,28,10,25,5,14,6,10,19,17,21,15
,,*%,*%,*%,0.01,0.01,*%,*%,*%,*%,0.01,*%,*%,0.01,*%,0.01,*%,*%,*%,*%,0.01,*%,*%,0.01,0,0.23,0,0,0,*%,*%,0.01,*%,*%,0.01,*%,*%,*%,*%,0.01,*%,0.01,*%,*%,*%,*%,*%,*%
,,,,,bcdefhi,ei,ei,ei,,,efi,ei,,,,,,,,,,,,,,acde,,,,,,,,,a,,,,,,,e,,,,,,
,Indian,230,114,116,53,46,58,36,17,20,99,94,37,93,137,74,71,39,27,20,145,85,83,145,0,0,230,0,0,180,50,25,20,209,9,157,69,187,41,157,43,57,57,45,152,63,161,61
,,0.03,0.03,0.03,0.05,0.03,0.04,0.02,0.01,0.01,0.04,0.03,0.01,0.03,0.02,0.04,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.04,0,0,0.32,0,0,0.03,0.02,0.01,0.01,0.03,0.01,0.03,0.02,0.03,0.02,0.04,0.03,0.03,0.04,0.01,0.03,0.02,0.03,0.02
,,,,,defi,efi,defi,efi,,,defi,efi,,,,bcdg,,,,,g,,,a,,,abde,,,bcd,,,,b,,,,b,,e,e,e,e,,b,,b,
,Pakistani,222,97,125,84,51,47,25,10,5,135,72,14,140,82,46,57,53,45,21,102,120,97,123,0,0,222,0,0,162,56,33,29,191,10,165,48,184,29,189,69,60,61,26,154,53,167,47
,,0.02,0.02,0.03,0.07,0.03,0.03,0.02,0.01,*%,0.05,0.03,*%,0.05,0.01,0.02,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0,0,0.31,0,0,0.03,0.02,0.02,0.02,0.02,0.01,0.03,0.02,0.03,0.01,0.04,0.05,0.03,0.05,0.01,0.03,0.02,0.03,0.01
,,,,,bcdefghi,defi,defi,efi,,,bcdefhi,efi,,b,,,,bf,bf,,,bf,,a,,,abde,,,bcd,,,,,,b,,b,,e,ce,e,ce,,b,,b,
,Bangladeshi,96,34,61,52,20,15,9,0,0,71,24,0,54,41,25,29,15,23,4,54,41,43,49,0,0,96,0,0,70,17,9,8,88,1,63,30,78,13,62,20,27,15,20,67,21,58,32
,,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0,0,0.03,0.01,0,0.02,0.01,0.01,0.01,0.01,0.02,*%,0.01,0.01,0.01,0.01,0,0,0.13,0,0,0.01,0.01,0.01,0.01,0.01,*%,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
,,,,a,bcdefghi,efi,efi,efi,,,bcdefhi,efi,,b,,,,,e,,,,,a,,,abde,,,bcd,,,,b,,,,b,,e,e,e,,,b,,,
