Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q10_2. With a friend: Compared with 10 years ago (i.e. 2012), do you think women in your country feel more or less comfortable discussing a gender-based crime (e.g. domestic abuse, forced marriage, female genital mutilation) with each of the following?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Brazil,China,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Russia,Saudi Arabia,Turkey,UK,Ukraine,USA,18-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Working (full time or part time),Not working,In education,Retired,"Other (incl. house wife, full time carer)",Single,NET: In a relationship,Living as a couple/Co-habiting,Married / civil partnership,Separated/divorced/widowed
,Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,a,b,c,d,e,f,g,h,i,a,b,c,d,e,a,b,c,d,e
,Unweighted Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2783,3933,3188,2452,1800,1567,6716,5640,3367,9808,1729,1142,1391,1653,4049,9699,2237,7462,1792
,Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2585,3428,3037,2724,2084,1865,6014,5761,3949,9703,1725,1078,1586,1631,3857,9765,2304,7461,1931
,Much more comfortable,5627,395,393,463,536,297,451,495,465,351,150,438,449,269,220,255,1088,1354,1116,898,628,544,2442,2014,1171,3687,557,456,393,534,1494,3525,825,2700,561
,,0.36,0.39,0.38,0.43,0.48,0.28,0.44,0.45,0.46,0.35,0.15,0.43,0.39,0.25,0.22,0.24,0.42,0.39,0.37,0.33,0.3,0.29,0.41,0.35,0.3,0.38,0.32,0.42,0.25,0.33,0.39,0.36,0.36,0.36,0.29
,,,eijmno,ejmno,abeijlmno,abcefijklmno,jn,abeijlmno,abeijlmno,abeijlmno,ejmno,,beijlmno,ejmno,j,j,j,bcdefhi,cdefhi,defi,efi,,,cdefhi,efi,,bde,d,abde,,d,bcde,e,e,e,
,Slightly more comfortable,5137,379,414,313,330,360,354,399,322,316,273,307,370,404,275,320,796,1161,976,937,643,624,1957,1913,1267,3277,527,320,525,488,1206,3275,762,2513,610
,,0.33,0.38,0.4,0.29,0.3,0.34,0.35,0.36,0.32,0.31,0.27,0.3,0.32,0.38,0.27,0.31,0.31,0.34,0.32,0.34,0.31,0.33,0.33,0.33,0.32,0.34,0.31,0.3,0.33,0.3,0.31,0.34,0.33,0.34,0.32
,,,cdhijklno,cdefghijklno,,,cdjn,cdjkn,cdhijklno,jn,jn,,,jn,cdhijklno,,,,ae,,ae,,,,a,,bce,,,,,,a,,a,
,About the same,3044,124,167,184,149,216,97,154,112,122,366,148,191,314,363,336,345,539,601,553,550,456,884,1153,1006,1776,371,136,444,316,637,1873,419,1454,496
,,0.19,0.12,0.16,0.17,0.13,0.2,0.09,0.14,0.11,0.12,0.36,0.15,0.16,0.29,0.36,0.32,0.13,0.16,0.2,0.2,0.26,0.24,0.15,0.2,0.25,0.18,0.21,0.13,0.28,0.19,0.17,0.19,0.18,0.19,0.26
,,,f,afhi,adfghi,f,abdfghikl,,fh,,,abcdefghiklm,fh,adfhi,abcdefghikl,abcdefghiklm,abcdefghikl,,a,abg,abg,abcdgh,abcdgh,,abg,abcdgh,c,ac,,abce,c,,a,,a,abcd
,Slightly less comfortable,893,60,24,46,48,106,93,31,78,80,49,49,86,38,43,62,171,196,169,145,114,99,367,314,213,502,110,80,83,119,255,519,124,395,111
,,0.06,0.06,0.02,0.04,0.04,0.1,0.09,0.03,0.08,0.08,0.05,0.05,0.07,0.04,0.04,0.06,0.07,0.06,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.06,0.07,0.05,0.07,0.07,0.05,0.05,0.05,0.06
,,,bgm,,b,bg,abcdgjklmno,abcdgjkmno,,bcdgjkmn,bcdgjkmn,bg,bg,bcdgjkmn,,b,bgm,dhi,,,,,,,,,,a,ad,,ad,bd,,,,
,Much less comfortable,462,31,16,26,26,66,23,13,32,60,31,28,50,11,15,34,92,95,81,97,42,55,187,178,97,246,66,40,41,69,118,267,77,190,63
,,0.03,0.03,0.02,0.02,0.02,0.06,0.02,0.01,0.03,0.06,0.03,0.03,0.04,0.01,0.02,0.03,0.04,0.03,0.03,0.04,0.02,0.03,0.03,0.03,0.02,0.03,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03
,,,bgmn,,gm,gm,abcdfghjkmno,m,,bgmn,abcdfghjkmno,bgmn,bgmn,bcdfgmn,,,bgmn,cei,,,ei,,,e,e,,,a,a,,ad,,,d,,
,Don't know,560,19,12,35,17,16,4,17,8,77,141,42,13,30,92,36,92,84,94,95,108,87,176,189,196,215,95,45,101,105,147,306,97,209,91
,,0.04,0.02,0.01,0.03,0.02,0.02,*%,0.02,0.01,0.08,0.14,0.04,0.01,0.03,0.09,0.03,0.04,0.02,0.03,0.03,0.05,0.05,0.03,0.03,0.05,0.02,0.05,0.04,0.06,0.06,0.04,0.03,0.04,0.03,0.05
,,,fh,f,abdefghl,f,f,,f,,abcdefghklmo,abcdefghiklmno,abdefghl,f,bdefghl,abcdefghklmo,abdefghl,b,,,b,abcdgh,bcgh,,b,abcdgh,,a,a,ac,ac,bd,,bd,,bd
,NET: More comfortable,10764,774,807,776,866,657,805,894,787,667,423,745,819,673,496,574,1884,2515,2092,1835,1270,1168,4399,3927,2438,6964,1084,777,917,1022,2700,6800,1587,5213,1170
,,0.68,0.77,0.79,0.73,0.78,0.62,0.79,0.81,0.77,0.66,0.42,0.74,0.71,0.63,0.49,0.55,0.73,0.73,0.69,0.67,0.61,0.63,0.73,0.68,0.62,0.72,0.63,0.72,0.58,0.63,0.7,0.7,0.69,0.7,0.61
,,,ceijlmno,ceijklmno,eijmno,ceijklmno,jno,ceijklmno,aceijklmno,ceijlmno,ejno,,eijmno,eijmno,jno,j,jn,cdefhi,cdefhi,efi,efi,,,cdefhi,efi,,bde,d,bde,,d,e,e,e,e,
,NET: Less comfortable,1355,91,39,72,74,172,116,45,110,140,79,77,136,50,59,95,263,291,250,242,155,154,554,492,309,748,175,120,123,188,373,786,201,585,174
,,0.09,0.09,0.04,0.07,0.07,0.16,0.11,0.04,0.11,0.14,0.08,0.08,0.12,0.05,0.06,0.09,0.1,0.08,0.08,0.09,0.07,0.08,0.09,0.09,0.08,0.08,0.1,0.11,0.08,0.12,0.1,0.08,0.09,0.08,0.09
,,,bgmn,,bgm,bgm,abcdfghjklmno,bcdgjkmn,,bcdgjkmn,abcdghjkmno,bgm,bgm,abcdgjkmno,,b,bcdgmn,bcefhi,,,,,,ei,,,,ad,ad,,ad,bd,,,,
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k,l,m,n,o - a,b,c,d,e,f,g,h,i - a,b,c,d,e - a,b,c,d,e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
