Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q6b_7. Bullying: To what extent do you feel equipped, if at all, to help your child/children aged 12 - 17, navigate the following?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All those with children aged 12 - 17 who are concerned about each statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Age of child,,,Gender of child,,Age of parent,,,Gender of parent,,Regions,,,,,,,,,,,,SEG,,Ethnicity of parent,,,,,,Parental / Guardianship status,,,,Perspective on challenges relating to gender,,
,,Total,0-5,6-11,12-18,Male,Female,18-34,35-64,65+,Male,Female,Northern Ireland,Scotland,North-West,North-East,Yorkshire & The Humber,Wales,West Midlands,East Midlands,South-West,South-East,East of England,London,ABC1,C2DE,White,Mixed/multiple,Asian or Asian British,Black or Black British,Another ethnicity,NET: Ethnic minority,Mother,Father,Parents,Gaurdian,Growing up as a boy is more challenging,Growing up as a girl is more challenging,Equally difficult
,Significance Level: 95%,,a,b,c,a,b,a,b,*c,a,b,*a,b,c,*d,e,*f,g,h,i,j,k,l,a,b,a,*b,*c,*d,*e,f,a,b,c,*d,a,b,c
,Unweighted Total,456,64,148,456,313,313,50,399,7,223,233,14,35,58,27,42,21,41,44,37,50,32,55,242,214,389,13,29,23,2,66,231,216,447,9,43,142,265
,Total,459,64,149,459,315,314,50,402,7,238,220,16,35,60,26,41,20,40,48,36,49,32,55,244,214,391,13,30,23,2,66,219,231,450,9,44,143,267
,Very equipped (5.0),82,13,32,82,57,61,12,68,2,47,35,3,6,13,6,8,3,8,7,8,6,6,9,45,37,69,3,3,7,0,13,36,46,82,0,13,37,31
,,0.18,0.21,0.21,0.18,0.18,0.19,0.24,0.17,0.28,0.2,0.16,0.21,0.17,0.21,0.22,0.19,0.14,0.2,0.14,0.22,0.12,0.18,0.17,0.18,0.17,0.18,0.24,0.1,0.3,0,0.2,0.16,0.2,0.18,0,0.3,0.26,0.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,c,
,Somewhat equipped (4.0),210,26,66,210,137,141,18,189,3,107,103,10,19,26,13,20,9,19,25,16,24,14,16,114,96,184,5,11,9,1,25,100,103,203,8,11,57,140
,,0.46,0.4,0.44,0.46,0.44,0.45,0.36,0.47,0.44,0.45,0.47,0.64,0.55,0.43,0.48,0.5,0.47,0.46,0.52,0.44,0.48,0.44,0.28,0.47,0.45,0.47,0.37,0.38,0.39,0.54,0.38,0.46,0.45,0.45,0.88,0.26,0.4,0.52
,,,,,,,,,,,,,,l,,,l,,,l,,l,,,,,,,,,,,,,,,,,ab
,Neither equipped nor unequipped (3.0),83,12,25,83,61,60,10,72,1,40,43,0,7,10,4,6,5,10,6,7,9,3,17,38,45,69,4,7,3,0,14,44,38,82,1,9,32,41
,,0.18,0.19,0.17,0.18,0.19,0.19,0.2,0.18,0.14,0.17,0.2,0,0.19,0.17,0.15,0.14,0.25,0.24,0.14,0.18,0.18,0.09,0.31,0.16,0.21,0.18,0.31,0.24,0.13,0,0.21,0.2,0.16,0.18,0.12,0.21,0.22,0.15
,,,,,,,,,,,,,,,,,,,,,,,,hk,,,,,,,,,,,,,,,
,Somewhat unequipped (2.0),58,9,22,58,43,35,8,49,1,36,22,2,3,7,2,6,2,2,5,5,6,7,10,35,24,49,0,5,3,1,9,22,36,58,0,8,11,39
,,0.13,0.14,0.14,0.13,0.14,0.11,0.16,0.12,0.14,0.15,0.1,0.14,0.09,0.12,0.08,0.14,0.1,0.05,0.11,0.13,0.12,0.23,0.18,0.14,0.11,0.13,0,0.18,0.14,0.46,0.14,0.1,0.16,0.13,0,0.19,0.08,0.15
,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,b,,b
,Not at all equipped (1.0),19,2,2,19,14,10,0,19,0,4,14,0,0,2,0,1,1,1,4,1,5,2,2,11,8,15,1,2,1,0,4,14,4,19,0,2,4,12
,,0.04,0.03,0.01,0.04,0.04,0.03,0,0.05,0,0.02,0.06,0,0,0.03,0,0.02,0.05,0.03,0.09,0.03,0.09,0.06,0.03,0.04,0.04,0.04,0.08,0.06,0.04,0,0.06,0.06,0.02,0.04,0,0.04,0.03,0.04
,,,,,,,,,,,,a,,,,,,,,,,,,,,,,,,,,,b,,,,,,
,Don't know,6,2,3,6,3,6,2,4,0,3,3,0,0,2,2,0,0,1,0,0,0,0,1,2,4,5,0,1,0,0,1,3,3,6,0,0,2,4
,,0.01,0.03,0.02,0.01,0.01,0.02,0.04,0.01,0,0.01,0.01,0,0,0.04,0.07,0,0,0.02,0,0,0,0,0.02,0.01,0.02,0.01,0,0.04,0,0,0.02,0.01,0.01,0.01,0,0,0.01,0.01
,NET: Equipped,292,39,98,292,194,202,30,257,5,154,138,14,25,38,19,28,12,26,32,24,29,20,25,159,133,253,8,14,16,1,38,136,149,285,8,24,94,171
,,0.64,0.61,0.66,0.64,0.62,0.64,0.6,0.64,0.72,0.65,0.63,0.86,0.72,0.64,0.7,0.69,0.61,0.66,0.66,0.66,0.6,0.62,0.45,0.65,0.62,0.65,0.61,0.48,0.69,0.54,0.57,0.62,0.65,0.63,0.88,0.56,0.66,0.64
,,,,,,,,,,,,,,l,l,,l,,l,l,,,,,,,,,,,,,,,,,,,
,NET: Unequipped,77,11,24,77,57,45,8,68,1,41,36,2,3,9,2,7,3,3,10,6,11,9,12,45,32,64,1,7,4,1,13,36,41,77,0,10,15,51
,,0.17,0.18,0.16,0.17,0.18,0.14,0.16,0.17,0.14,0.17,0.16,0.14,0.09,0.16,0.08,0.17,0.14,0.08,0.2,0.16,0.22,0.29,0.22,0.19,0.15,0.16,0.08,0.24,0.18,0.46,0.2,0.17,0.18,0.17,0,0.23,0.1,0.19
,,,,,,,,,,,,,,,,,,,,,,,bg,,,,,,,,,,,,,,b,,b
,Mean score,3.62,3.62,3.71,3.62,3.58,3.68,3.7,3.6,3.86,3.67,3.56,3.93,3.8,3.68,3.9,3.69,3.56,3.77,3.51,3.7,3.41,3.46,3.37,3.61,3.62,3.63,3.69,3.29,3.77,3.08,3.52,3.56,3.66,3.61,3.88,3.58,3.8,3.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,
,Base for stats,453,62,147,453,312,308,48,397,7,235,217,16,35,58,25,41,20,39,48,36,49,32,54,242,210,386,13,28,23,2,65,216,228,444,9,44,141,263
,Standard Deviation,1.051,1.087,1.013,1.051,1.075,1.018,1.032,1.055,1.057,1.024,1.08,0.91,0.842,1.066,0.869,1.019,1.025,0.928,1.15,1.052,1.15,1.214,1.084,1.077,1.023,1.036,1.134,1.111,1.16,1.405,1.144,1.087,1.034,1.06,0.343,1.233,1.005,1.03
,Error variance,*,0.02,0.01,*,*,*,0.02,*,0.16,*,0.01,0.06,0.02,0.02,0.03,0.02,0.05,0.02,0.03,0.03,0.03,0.05,0.02,*,*,*,0.1,0.04,0.06,0.99,0.02,0.01,0.01,*,0.01,0.04,0.01,*
,"Columns Tested: a,b,c - a,b - a,b,c - a,b - a,b,c,d,e,f,g,h,i,j,k,l - a,b - a,b,c,d,e,f - a,b,c,d - a,b,c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
