Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,Homeless and Police PR - W184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q4. Which of the following is closest to your view? 'The police in the UK...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Male,Female,18-24,25-34,35-44,45-54,55-64,65+,NET: 18-34,NET: 35-54,NET: 55+,Northern Ireland,Scotland,North-West,North-East,Yorkshire and the Humber,Wales,West Midlands,East Midlands,South-West,South-East,Eastern,London,NET: England,AB,C1,C2,DE,Conservative,Labour,Liberal Democrat,The Brexit Party,Green,SNP,Plaid Cymru,Another party,Did not vote,Leave,Remain,Did not vote
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,j,k,l,m,a,b,c,d,a,b,c,d,e,f,*g,h,i,a,b,c
,Unweighted Total,2235,1055,1175,249,394,308,385,386,513,643,693,899,52,165,248,106,214,136,240,178,190,276,156,274,1882,578,466,308,873,696,558,111,39,35,55,13,44,522,811,716,593
,Total,2235,1088,1142,248,387,358,396,331,516,635,753,847,67,189,249,91,182,108,193,158,193,304,208,293,1871,608,626,451,541,707,552,112,35,38,58,7,56,507,788,750,593
,Have a strong right-wing bias,203,115,87,29,60,29,30,29,26,89,59,55,9,22,16,10,14,9,19,11,17,22,10,43,163,71,48,44,40,59,70,10,3,1,9,1,6,27,60,82,54
,,0.09,0.11,0.08,0.12,0.16,0.08,0.08,0.09,0.05,0.14,0.08,0.06,0.14,0.12,0.07,0.11,0.08,0.08,0.1,0.07,0.09,0.07,0.05,0.15,0.09,0.12,0.08,0.1,0.07,0.08,0.13,0.09,0.09,0.03,0.16,0.13,0.11,0.05,0.08,0.11,0.09
,,,b,,fi,cdefhi,,,f,,cdefhi,,,k,k,,,,,,,,,,cehjkm,,bd,,,,i,ai,,,,ai,,,,,a,
,Have a slight right-wing bias,380,218,160,61,80,60,65,42,72,141,125,114,8,35,39,16,29,14,34,21,21,65,24,74,324,119,121,73,64,99,127,21,3,3,11,1,8,85,106,143,116
,,0.17,0.2,0.14,0.25,0.21,0.17,0.16,0.13,0.14,0.22,0.17,0.13,0.12,0.18,0.16,0.18,0.16,0.12,0.18,0.14,0.11,0.21,0.12,0.25,0.17,0.2,0.19,0.16,0.12,0.14,0.23,0.19,0.08,0.09,0.2,0.07,0.15,0.17,0.13,0.19,0.2
,,,b,,cdefhi,efi,,,,,defhi,,,,i,,,,,,,,fhik,,acefghikm,i,d,d,,,,adei,,,,,,,,,a,a
,Do not have a right or left-wing bias,756,397,359,82,120,123,129,113,189,202,252,302,28,58,79,24,58,35,68,53,55,115,86,96,635,211,209,151,184,236,185,36,11,18,17,3,25,179,241,280,202
,,0.34,0.36,0.31,0.33,0.31,0.34,0.33,0.34,0.37,0.32,0.33,0.36,0.42,0.31,0.32,0.26,0.32,0.32,0.35,0.34,0.29,0.38,0.41,0.33,0.34,0.35,0.33,0.34,0.34,0.33,0.34,0.32,0.31,0.47,0.29,0.44,0.45,0.35,0.31,0.37,0.34
,,,b,,,,,,,,,,,,,,,,,,,,di,di,,,,,,,,,,,,,,,,,a,
,Have a slight left-wing bias,144,74,69,12,24,26,26,8,48,36,52,56,2,11,16,4,15,6,16,12,15,14,17,16,125,48,37,26,32,71,33,9,1,0,1,*,2,17,65,43,33
,,0.06,0.07,0.06,0.05,0.06,0.07,0.06,0.02,0.09,0.06,0.07,0.07,0.04,0.06,0.06,0.04,0.08,0.05,0.08,0.08,0.08,0.05,0.08,0.05,0.07,0.08,0.06,0.06,0.06,0.1,0.06,0.08,0.04,0,0.02,0.06,0.04,0.03,0.08,0.06,0.06
,,,,,,e,e,e,,aeg,e,e,e,,,,,,,,,,,,,,,,,,bei,i,i,,,,,,,,,
,Have a strong left-wing bias,118,68,51,7,13,15,22,28,33,20,37,61,4,7,20,5,8,8,8,8,11,13,15,10,100,32,32,30,25,74,13,2,4,1,1,*,3,15,77,23,15
,,0.05,0.06,0.04,0.03,0.03,0.04,0.06,0.08,0.06,0.03,0.05,0.07,0.06,0.04,0.08,0.05,0.05,0.07,0.04,0.05,0.06,0.04,0.07,0.03,0.05,0.05,0.05,0.07,0.05,0.1,0.02,0.02,0.11,0.02,0.01,0.07,0.05,0.03,0.1,0.03,0.03
,,,,,,,,,abcgh,abg,,,abg,,,l,,,,,,,,,,,,,,,bcfi,,,bcfi,,,,,,bc,,
,Don't know,634,216,416,57,90,104,124,110,148,147,228,259,16,55,78,33,56,38,48,52,73,75,57,54,524,127,179,127,196,168,124,34,13,14,18,2,12,184,240,178,173
,,0.28,0.2,0.36,0.23,0.23,0.29,0.31,0.33,0.29,0.23,0.3,0.31,0.24,0.29,0.31,0.36,0.31,0.35,0.25,0.33,0.38,0.25,0.27,0.18,0.28,0.21,0.29,0.28,0.36,0.24,0.22,0.3,0.38,0.39,0.31,0.24,0.21,0.36,0.3,0.24,0.29
,,,,a,,,,abg,abg,g,,abg,abg,,l,l,gjl,l,gjl,,l,gjklm,,l,,l,,a,a,abc,,,,ab,ab,,,,abh,b,,b
,Sum: Right-wing bias,583,333,247,90,140,90,95,71,98,230,184,169,17,57,56,26,44,22,53,33,38,87,34,118,487,190,168,118,105,158,197,31,6,5,21,1,14,112,165,226,170
,,0.26,0.31,0.22,0.36,0.36,0.25,0.24,0.21,0.19,0.36,0.24,0.2,0.25,0.3,0.22,0.29,0.24,0.21,0.27,0.21,0.2,0.29,0.16,0.4,0.26,0.31,0.27,0.26,0.19,0.22,0.36,0.28,0.17,0.12,0.36,0.2,0.25,0.22,0.21,0.3,0.29
,,,b,,cdefhi,cdefhi,f,,,,cdefhi,fi,,,hik,,k,,,k,,,ik,,abcdefghijkm,k,d,d,d,,,adei,,,,aei,,,,,a,a
,Sum: Left-wing bias,262,142,120,19,37,42,48,36,81,56,89,117,6,18,36,8,24,13,24,20,26,27,32,25,224,80,69,56,57,145,46,11,5,1,2,1,5,32,142,66,48
,,0.12,0.13,0.11,0.08,0.1,0.12,0.12,0.11,0.16,0.09,0.12,0.14,0.09,0.1,0.15,0.09,0.13,0.12,0.13,0.13,0.14,0.09,0.15,0.09,0.12,0.13,0.11,0.12,0.1,0.21,0.08,0.1,0.14,0.02,0.03,0.12,0.09,0.06,0.18,0.09,0.08
,,,,,,,,,,abeg,,,abg,,,jl,,,,,,,,jl,,,,,,,bcefi,,,,,,,,,bc,,
,"Columns Tested: a,b - a,b,c,d,e,f,g,h,i - a,b,c,d,e,f,g,h,i,j,k,l,m - a,b,c,d - a,b,c,d,e,f,g,h,i - a,b,c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
