Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q5b_11. Sexual abuse: To what extent do you feel equipped, if at all, to help your child/chilren aged 6 - 11, navigate the following?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All those with children aged 6 - 11 who are concerned about each statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Age of child,,,Gender of child,,Age of parent,,,Gender of parent,,Regions,,,,,,,,,,,,SEG,,Ethnicity of parent,,,,,,Parental / Guardianship status,,,,Perspective on challenges relating to gender,,
,,Total,0-5,6-11,12-18,Male,Female,18-34,35-64,65+,Male,Female,Northern Ireland,Scotland,North-West,North-East,Yorkshire & The Humber,Wales,West Midlands,East Midlands,South-West,South-East,East of England,London,ABC1,C2DE,White,Mixed/multiple,Asian or Asian British,Black or Black British,Another ethnicity,NET: Ethnic minority,Mother,Father,Parents,Gaurdian,Growing up as a boy is more challenging,Growing up as a girl is more challenging,Equally difficult
,Significance Level: 95%,,a,b,c,a,b,a,b,*c,a,b,*a,*b,c,*d,*e,*f,g,*h,*i,j,k,l,a,b,a,*b,*c,d,*e,f,a,b,c,*d,a,b,c
,Unweighted Total,369,137,369,151,283,268,115,253,1,181,187,13,26,36,13,28,18,40,19,25,40,30,81,202,167,300,18,18,32,1,69,187,177,364,5,57,100,205
,Total,370,136,370,153,285,268,113,257,1,193,177,15,26,37,13,26,17,39,21,24,39,30,83,204,167,302,18,18,32,1,69,177,188,365,5,59,101,204
,Very equipped (5.0),110,38,110,46,91,76,40,70,1,66,44,5,5,11,3,8,4,10,5,8,9,9,33,60,50,91,4,3,12,0,19,45,65,110,0,27,28,54
,,0.3,0.28,0.3,0.3,0.32,0.28,0.35,0.27,1,0.34,0.25,0.31,0.2,0.3,0.24,0.32,0.22,0.25,0.27,0.32,0.22,0.3,0.4,0.3,0.3,0.3,0.22,0.17,0.38,0,0.28,0.26,0.35,0.3,0,0.45,0.27,0.26
,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,bc,,
,Somewhat equipped (4.0),131,50,131,55,101,96,45,86,0,70,60,6,8,17,5,6,5,15,11,8,15,10,27,76,54,105,6,7,13,0,26,58,70,128,2,18,40,70
,,0.35,0.37,0.35,0.36,0.35,0.36,0.4,0.33,0,0.36,0.34,0.38,0.3,0.45,0.36,0.22,0.28,0.38,0.52,0.32,0.38,0.34,0.32,0.37,0.33,0.35,0.34,0.38,0.4,0,0.37,0.33,0.37,0.35,0.4,0.32,0.39,0.34
,Neither equipped nor unequipped (3.0),71,23,71,33,53,54,10,61,0,31,40,0,8,7,4,7,4,8,3,6,9,7,8,31,40,56,7,4,4,0,15,40,27,68,3,7,18,44
,,0.19,0.17,0.19,0.21,0.19,0.2,0.09,0.24,0,0.16,0.23,0,0.3,0.19,0.32,0.25,0.22,0.2,0.16,0.27,0.22,0.23,0.1,0.15,0.24,0.19,0.38,0.23,0.13,0,0.22,0.23,0.15,0.19,0.6,0.12,0.18,0.22
,,,,,,,,,a,,,,,,,,,,,,,,,,,a,,,,,,,b,,,,,,
,Somewhat unequipped (2.0),36,15,36,14,26,28,10,27,0,16,20,3,2,1,0,3,3,1,1,2,5,4,11,24,12,32,1,2,0,1,4,20,16,36,0,4,8,24
,,0.1,0.11,0.1,0.09,0.09,0.1,0.08,0.1,0,0.08,0.11,0.23,0.08,0.03,0,0.1,0.17,0.02,0.05,0.08,0.12,0.14,0.13,0.12,0.07,0.11,0.06,0.11,0,1,0.06,0.11,0.08,0.1,0,0.07,0.08,0.12
,Not at all equipped (1.0),18,8,18,5,12,11,6,12,0,6,10,1,3,0,0,2,1,5,0,0,2,0,4,10,8,16,0,1,1,0,2,11,6,18,0,2,7,9
,,0.05,0.06,0.05,0.03,0.04,0.04,0.05,0.05,0,0.03,0.06,0.08,0.11,0,0,0.07,0.06,0.12,0,0,0.05,0,0.05,0.05,0.05,0.05,0,0.06,0.03,0,0.03,0.06,0.03,0.05,0,0.04,0.07,0.04
,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,
,Don't know,5,2,5,1,2,4,3,2,0,3,2,0,0,1,1,1,1,1,0,0,0,0,0,3,2,2,0,1,2,0,3,2,3,5,0,0,1,4
,,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0,0.02,0.01,0,0,0.03,0.08,0.03,0.06,0.02,0,0,0,0,0,0.01,0.01,0.01,0,0.05,0.06,0,0.04,0.01,0.02,0.01,0,0,0.01,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,,a,,,,,,,
,NET: Equipped,241,88,241,100,192,172,84,155,1,136,104,10,13,28,8,14,9,25,16,15,24,19,60,136,105,196,10,10,25,0,45,103,135,239,2,45,67,124
,,0.65,0.65,0.65,0.65,0.67,0.64,0.75,0.61,1,0.71,0.59,0.69,0.5,0.75,0.6,0.54,0.5,0.63,0.79,0.65,0.61,0.64,0.72,0.67,0.63,0.65,0.56,0.55,0.78,0,0.65,0.58,0.72,0.65,0.4,0.77,0.67,0.61
,,,,,,,,b,,,b,,,,,,,,,,,,,,,,,,,,,,,a,,,c,,
,NET: Unequipped,54,23,54,19,38,39,15,38,0,22,30,5,5,1,0,5,4,6,1,2,7,4,15,34,20,48,1,3,1,1,6,31,22,54,0,6,15,32
,,0.15,0.17,0.15,0.13,0.13,0.14,0.14,0.15,0,0.12,0.17,0.31,0.19,0.03,0,0.17,0.22,0.15,0.05,0.08,0.17,0.14,0.18,0.17,0.12,0.16,0.06,0.17,0.03,1,0.09,0.18,0.12,0.15,0,0.11,0.15,0.16
,,,,,,,,,,,,,,,,,,,,,,c,,c,,,,,,,,,,,,,,,
,Mean score,3.77,3.71,3.77,3.8,3.82,3.75,3.94,3.69,5,3.92,3.62,3.62,3.4,4.06,3.91,3.64,3.46,3.63,4,3.89,3.61,3.8,3.89,3.76,3.77,3.75,3.72,3.51,4.16,2,3.84,3.61,3.93,3.77,3.4,4.08,3.73,3.68
,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,a,,,c,,
,Base for stats,365,135,365,152,284,264,110,254,1,189,175,15,26,36,12,25,16,38,21,24,39,30,83,201,165,300,18,17,30,1,66,175,185,360,5,59,100,200
