Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q26.8. Lack of high quality, well-paid jobs: Thinking about your local community, what do you see as the main challenges facing young people (aged 16-24) today?By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,English region,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,North-West,North-East,Yorkshire & Humberside,West Midlands,East Midlands,South-West,South-East,Eastern,London,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,6241,2812,3396,663,1162,1266,943,1226,981,1825,2209,2207,802,296,623,647,519,675,1019,691,969,2105,4136,1996,2009,1138,681,417,4005,2236,3258,2940,5064,240,446,421,42,4108,2058,1189,992,5627,489,3850,2171,4567,1590,3235,1022,1294,919,2217,3719,2304,3568,2432
,Total,6241,3007,3201,823,1041,1004,1006,961,1406,1864,2010,2367,817,294,612,647,542,640,1027,697,967,2156,4085,1426,2086,1242,933,553,3513,2728,3579,2609,5152,131,557,243,130,4004,2157,1216,1066,5623,486,3806,2198,4476,1669,3109,980,1229,899,2346,3636,2376,3487,2495
,1,389,184,201,66,61,62,54,57,89,127,115,147,47,23,50,48,37,37,43,45,59,154,235,83,131,83,67,25,214,175,224,163,305,8,48,15,9,258,127,66,59,347,33,222,153,272,112,191,61,64,66,163,207,169,201,172
,,0.06,0.06,0.06,0.08,0.06,0.06,0.05,0.06,0.06,0.07,0.06,0.06,0.06,0.08,0.08,0.07,0.07,0.06,0.04,0.06,0.06,0.07,0.06,0.06,0.06,0.07,0.07,0.04,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.06,0.07,0.06,0.06,0.05,0.06,0.06,0.07,0.06,0.07,0.06,0.07,0.06,0.06,0.05,0.07,0.07,0.06,0.07,0.06,0.07
,,,,,dh,,,,,,,,,,g,g,g,g,,,g,,b,,,,,,,,,,,,,a,,,,,,,,,,,,,,,,c,c,,a,,
,2,443,229,210,50,63,53,65,82,130,113,118,212,59,29,39,45,51,55,67,46,52,150,293,86,155,98,62,42,241,202,246,194,373,10,36,17,3,301,138,69,79,400,37,269,162,329,109,232,77,92,63,166,253,176,238,193
,,0.07,0.08,0.07,0.06,0.06,0.05,0.06,0.09,0.09,0.06,0.06,0.09,0.07,0.1,0.06,0.07,0.1,0.09,0.06,0.07,0.05,0.07,0.07,0.06,0.07,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.08,0.06,0.07,0.02,0.08,0.06,0.06,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08
,,,,,,,,,bcgh,abcdgh,,,abcdgh,,i,,,cgi,i,,,,,,,,a,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,
,3,410,223,182,53,63,64,77,69,83,116,141,152,49,29,52,52,40,42,56,44,46,159,251,85,129,91,66,39,214,196,231,175,344,9,33,21,3,248,160,82,91,355,44,261,138,291,114,184,58,83,43,171,239,157,241,153
,,0.07,0.07,0.06,0.06,0.06,0.06,0.08,0.07,0.06,0.06,0.07,0.06,0.06,0.1,0.08,0.08,0.07,0.07,0.05,0.06,0.05,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.06,0.08,0.03,0.06,0.07,0.07,0.09,0.06,0.09,0.07,0.06,0.06,0.07,0.06,0.06,0.07,0.05,0.07,0.07,0.07,0.07,0.06
,,,b,,,,,,,,,,,,aghi,gi,gi,i,,,,,,,,,,,,,,,,,,,,,,,,a,,a,,,,,,,,,ad,,,,
,4,366,179,184,38,67,61,64,54,82,105,126,135,45,11,41,45,30,37,63,34,61,134,233,94,116,67,54,35,209,157,205,159,293,6,43,22,0,238,123,76,64,329,33,221,132,268,93,169,41,80,48,135,217,136,202,152
,,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.04,0.07,0.07,0.05,0.06,0.06,0.05,0.06,0.06,0.06,0.07,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.08,0.09,0,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.04,0.07,0.05,0.06,0.06,0.06,0.06,0.06
,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,abe,,,,,,,,,,,,,,b,,,,,,
,5,345,168,177,60,58,55,37,54,82,118,92,136,41,18,33,33,31,42,54,48,47,151,194,74,127,66,46,33,201,145,212,131,281,10,33,15,6,212,125,77,56,312,26,198,131,240,102,156,45,61,49,141,195,136,202,134
,,0.06,0.06,0.06,0.07,0.06,0.05,0.04,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.05,0.05,0.06,0.07,0.05,0.07,0.05,0.07,0.05,0.05,0.06,0.05,0.05,0.06,0.06,0.05,0.06,0.05,0.05,0.08,0.06,0.06,0.05,0.05,0.06,0.06,0.05,0.06,0.05,0.05,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.06,0.05,0.06,0.06,0.05
,,,,,dh,d,d,,d,d,dh,,d,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,322,137,181,50,67,36,38,43,89,116,74,132,47,25,23,29,31,26,42,35,63,111,211,64,117,69,43,29,181,141,186,133,265,6,25,16,9,184,134,74,71,293,24,183,128,219,101,145,44,58,42,139,171,141,182,125
,,0.05,0.05,0.06,0.06,0.06,0.04,0.04,0.04,0.06,0.06,0.04,0.06,0.06,0.09,0.04,0.04,0.06,0.04,0.04,0.05,0.06,0.05,0.05,0.04,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.07,0.07,0.05,0.06,0.06,0.07,0.05,0.05,0.05,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.06,0.05,0.06,0.05,0.05
,,,,a,cdh,cdeh,,,,cdeh,cdeh,,cdh,,cdfgh,,,,,,,cfg,,,,,,,,,,,,,,,,,,a,a,a,,,,,,,,,,,a,,a,,
,7,281,95,186,29,52,43,45,47,65,82,88,112,38,7,34,30,24,28,43,34,45,90,191,67,85,58,47,23,153,128,178,101,233,3,27,5,12,172,106,61,53,252,24,161,106,197,81,144,46,54,43,102,168,103,169,100
,,0.05,0.03,0.06,0.04,0.05,0.04,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.02,0.06,0.05,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.05,0.05,0.04,0.05,0.02,0.05,0.02,0.09,0.04,0.05,0.05,0.05,0.04,0.05,0.04,0.05,0.04,0.05,0.05,0.05,0.04,0.05,0.04,0.05,0.04,0.05,0.04
,,,,a,,,,,,,,,,,,b,,,,,,,,,,,,,,,,b,,d,,d,,bd,,,,,,,,,,,,,,,,,,,
,8,250,116,134,40,39,38,44,37,53,79,82,89,33,6,28,20,20,27,44,23,48,75,176,41,93,47,43,26,134,116,150,101,216,6,16,8,3,142,101,59,44,221,25,165,81,191,58,137,54,54,29,88,148,96,143,102
,,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.05,0.03,0.04,0.04,0.04,0.03,0.05,0.03,0.04,0.03,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.04,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.04,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.04
,,,,,,,,,,,,,,,,,,,,,,b,,,,a,,a,,,a,,,,,,,,,a,a,,,,,,,,,de,,,,,,,
,9,217,81,133,26,31,36,34,43,46,57,71,89,26,11,20,25,16,28,39,23,28,63,154,46,81,48,24,17,127,90,112,103,189,6,9,4,6,141,73,37,36,193,23,121,87,150,67,100,30,34,36,86,124,86,137,75
,,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.04,0.03,0.03,0.04,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.04,0.04,0.05,0.02,0.02,0.05,0.04,0.03,0.03,0.03,0.03,0.05,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.04,0.04,0.03,0.04,0.04,0.03
,,,,a,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,cd,cd,,,,,,,,,,,,,,,,,,,,,,
