Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q4_W3.6. Supporting young people: You said that you intend to volunteer in your local community next year. In which of the following areas do you think you might do this? By 'local community' we mean the local area where you live.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents who intend to volunteer in their community in the next 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,English region,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,North-West,North-East,Yorkshire & Humberside,West Midlands,East Midlands,South-West,South-East,Eastern,London,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,*e,a,b,a,b
,Unweighted Total,3235,1480,1734,471,743,699,434,508,380,1214,1133,888,386,136,310,351,240,322,561,331,598,1132,2103,1197,1008,581,295,154,2205,1030,1403,1816,2368,171,317,334,32,2109,1086,660,489,2885,282,2476,705,2864,356,3235,1022,1294,919,0,2414,769,2128,1040
,Total,3109,1514,1574,574,649,539,434,387,526,1223,973,913,368,126,292,349,238,289,545,324,577,1112,1997,839,1035,641,387,207,1874,1235,1510,1581,2320,93,392,192,99,1986,1085,647,497,2773,265,2376,681,2722,369,3109,980,1229,899,0,2298,760,2013,1027
,1,307,124,182,65,91,69,39,19,24,156,108,43,23,10,23,30,27,31,64,35,66,108,200,94,110,57,27,19,204,103,128,180,214,11,42,28,9,213,92,61,37,274,29,221,80,268,40,307,100,132,74,0,226,75,197,107
,,0.1,0.08,0.12,0.11,0.14,0.13,0.09,0.05,0.05,0.13,0.11,0.05,0.06,0.08,0.08,0.08,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.09,0.07,0.09,0.11,0.08,0.08,0.11,0.09,0.12,0.11,0.15,0.09,0.11,0.08,0.09,0.07,0.1,0.11,0.09,0.12,0.1,0.11,0.1,0.1,0.11,0.08,0,0.1,0.1,0.1,0.1
,,,,a,efi,defi,efi,efi,,,defi,efi,,,,,,a,a,a,a,a,,,dg,,,,,dg,,,a,,,,a,,bd,,,,,,,,,,,,,,,,,,
