Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q6b_16. Sexual harassment from adults: To what extent do you feel equipped, if at all, to help your child/children aged 12 - 17, navigate the following?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All those with children aged 12 - 17 who are concerned about each statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Age of child,,,Gender of child,,Age of parent,,,Gender of parent,,Regions,,,,,,,,,,,,SEG,,Ethnicity of parent,,,,,,Parental / Guardianship status,,,,Perspective on challenges relating to gender,,
,,Total,0-5,6-11,12-18,Male,Female,18-34,35-64,65+,Male,Female,Northern Ireland,Scotland,North-West,North-East,Yorkshire & The Humber,Wales,West Midlands,East Midlands,South-West,South-East,East of England,London,ABC1,C2DE,White,Mixed/multiple,Asian or Asian British,Black or Black British,Another ethnicity,NET: Ethnic minority,Mother,Father,Parents,Gaurdian,Growing up as a boy is more challenging,Growing up as a girl is more challenging,Equally difficult
,Significance Level: 95%,,a,b,c,a,b,a,b,*c,a,b,*a,*b,c,*d,*e,*f,*g,*h,*i,j,*k,l,a,b,a,*b,*c,*d,*e,f,a,b,c,*d,a,b,c
,Unweighted Total,273,61,127,273,195,206,40,230,3,134,139,5,22,38,12,21,11,19,23,23,31,17,51,152,121,231,11,16,14,1,41,138,128,266,7,41,93,137
,Total,274,61,129,274,196,206,40,231,3,143,131,6,22,39,12,21,10,18,25,22,30,17,51,152,121,232,11,16,14,1,41,130,137,267,7,42,94,136
,Very equipped (5.0),54,8,29,54,38,41,11,42,2,36,18,0,3,12,4,3,1,3,5,5,4,1,14,33,21,47,2,1,3,1,6,18,35,53,1,11,19,24
,,0.2,0.14,0.22,0.2,0.19,0.2,0.26,0.18,0.68,0.25,0.14,0,0.15,0.3,0.33,0.14,0.09,0.16,0.22,0.22,0.13,0.06,0.26,0.22,0.17,0.2,0.19,0.07,0.22,1,0.15,0.14,0.26,0.2,0.15,0.27,0.2,0.18
,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,a,,,,,
,Somewhat equipped (4.0),111,31,53,111,81,82,13,97,1,58,54,3,8,12,5,11,5,6,11,11,10,7,22,66,45,92,4,7,8,0,19,54,54,108,3,15,42,53
,,0.41,0.51,0.41,0.41,0.42,0.4,0.32,0.42,0.32,0.4,0.41,0.6,0.36,0.31,0.41,0.54,0.46,0.32,0.44,0.48,0.35,0.41,0.43,0.43,0.37,0.4,0.36,0.44,0.58,0,0.47,0.41,0.4,0.41,0.44,0.37,0.44,0.39
,Neither equipped nor unequipped (3.0),56,11,20,56,38,46,7,49,0,23,33,1,7,4,2,5,3,6,3,4,10,4,8,28,28,47,3,4,2,0,9,32,23,55,1,7,18,31
,,0.2,0.19,0.15,0.2,0.19,0.22,0.17,0.21,0,0.16,0.25,0.2,0.3,0.11,0.17,0.23,0.28,0.31,0.13,0.18,0.32,0.23,0.15,0.19,0.23,0.2,0.27,0.25,0.13,0,0.21,0.24,0.17,0.21,0.13,0.17,0.19,0.23
,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,
,Somewhat unequipped (2.0),35,8,22,35,26,27,7,29,0,17,18,1,1,7,1,2,1,3,5,2,4,3,5,17,18,30,2,2,1,0,5,18,15,33,2,7,9,19
,,0.13,0.13,0.17,0.13,0.14,0.13,0.16,0.12,0,0.12,0.14,0.2,0.04,0.18,0.09,0.09,0.09,0.16,0.22,0.09,0.14,0.18,0.1,0.11,0.15,0.13,0.18,0.13,0.07,0,0.12,0.14,0.11,0.13,0.28,0.17,0.1,0.14
,Not at all equipped (1.0),12,1,4,12,8,7,1,11,0,6,6,0,3,2,0,0,0,0,0,1,2,2,2,7,5,10,0,2,0,0,2,6,6,12,0,1,5,6
,,0.04,0.02,0.03,0.04,0.04,0.03,0.03,0.05,0,0.05,0.04,0,0.15,0.05,0,0,0,0,0,0.04,0.06,0.12,0.04,0.05,0.04,0.04,0,0.12,0,0,0.05,0.04,0.05,0.05,0,0.03,0.05,0.04
,Don't know,5,1,1,5,4,3,2,3,0,2,3,0,0,2,0,0,1,1,0,0,0,0,1,1,4,5,0,0,0,0,0,3,2,5,0,0,2,2
,,0.02,0.02,0.01,0.02,0.02,0.01,0.05,0.01,0,0.02,0.02,0,0,0.06,0,0,0.09,0.05,0,0,0,0,0.02,0.01,0.03,0.02,0,0,0,0,0,0.02,0.02,0.02,0,0,0.02,0.01
,NET: Equipped,166,39,82,166,119,123,24,139,3,94,72,3,11,24,9,14,6,9,17,15,14,8,36,99,67,139,6,8,11,1,25,72,90,161,4,27,60,78
,,0.6,0.65,0.64,0.6,0.61,0.59,0.59,0.6,1,0.66,0.55,0.6,0.51,0.61,0.74,0.68,0.54,0.48,0.65,0.69,0.48,0.46,0.7,0.65,0.55,0.6,0.54,0.51,0.8,1,0.62,0.55,0.66,0.6,0.59,0.64,0.64,0.57
,NET: Unequipped,47,9,26,47,34,34,8,40,0,24,24,1,4,9,1,2,1,3,5,3,6,5,7,24,23,40,2,4,1,0,7,24,21,45,2,8,14,25
,,0.17,0.15,0.2,0.17,0.18,0.17,0.19,0.17,0,0.16,0.18,0.2,0.19,0.23,0.09,0.09,0.09,0.16,0.22,0.13,0.2,0.3,0.13,0.16,0.19,0.17,0.18,0.25,0.07,0,0.17,0.18,0.16,0.17,0.28,0.19,0.15,0.19
,Mean score,3.6,3.62,3.63,3.6,3.6,3.6,3.67,3.57,4.68,3.71,3.47,3.4,3.32,3.66,3.98,3.72,3.6,3.5,3.65,3.74,3.35,3.1,3.8,3.66,3.51,3.6,3.55,3.21,3.96,5,3.55,3.47,3.72,3.6,3.47,3.7,3.64,3.53
,Base for stats,269,60,128,269,192,203,38,228,3,141,128,6,22,37,12,21,9,17,25,22,30,17,50,151,118,227,11,16,14,1,41,128,134,262,7,42,92,134
,Standard Deviation,1.086,0.952,1.11,1.086,1.081,1.061,1.154,1.075,0.565,1.117,1.041,0.876,1.243,1.265,0.961,0.839,0.835,0.983,1.067,1.049,1.086,1.169,1.073,1.082,1.089,1.093,1.043,1.156,0.814,*,1.047,1.044,1.117,1.087,1.135,1.129,1.082,1.083
,Error variance,*,0.02,0.01,*,0.01,0.01,0.04,0.01,0.11,0.01,0.01,0.15,0.07,0.04,0.08,0.03,0.07,0.05,0.05,0.05,0.04,0.08,0.02,0.01,0.01,0.01,0.1,0.08,0.05,*,0.03,0.01,0.01,*,0.18,0.03,0.01,0.01
,"Columns Tested: a,b,c - a,b - a,b,c - a,b - a,b,c,d,e,f,g,h,i,j,k,l - a,b - a,b,c,d,e,f - a,b,c,d - a,b,c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
