,,,Age of child,,,Gender of child,,Age of parent,,,Gender of parent,,Regions,,,,,,,,,,,,SEG,,Ethnicity of parent,,,,,,Parental / Guardianship status,,,,Perspective on challenges relating to gender,,
,,Total,0-5,6-11,12-18,Male,Female,18-34,35-64,65+,Male,Female,Northern Ireland,Scotland,North-West,North-East,Yorkshire & The Humber,Wales,West Midlands,East Midlands,South-West,South-East,East of England,London,ABC1,C2DE,White,Mixed/multiple,Asian or Asian British,Black or Black British,Another ethnicity,NET: Ethnic minority,Mother,Father,Parents,Gaurdian,Growing up as a boy is more challenging,Growing up as a girl is more challenging,Equally difficult
,Significance Level: 95%,,a,b,c,a,b,a,b,*c,a,b,*a,*b,c,*d,e,*f,g,*h,*i,j,k,l,a,b,a,*b,*c,*d,*e,f,a,b,c,*d,a,b,c
,,0.13,0.14,0.13,0.14,0.12,0.13,0.09,0.15,0,0.12,0.15,0,0.27,0.02,0.07,0.25,0.12,0.23,0.16,0.07,0.12,0.16,0.08,0.12,0.14,0.13,0.38,0.1,0.04,0,0.15,0.15,0.11,0.13,0.18,0.14,0.12,0.13
,,,,,,,,,,,,,,,,,cl,,cl,,,,c,,,,,,,,,,,,,,,,
,Mean score,3.75,3.75,3.75,3.78,3.77,3.78,3.83,3.71,4,3.88,3.61,4.15,3.36,4.03,4.07,3.56,3.82,3.31,3.71,3.75,3.65,3.63,4,3.8,3.68,3.75,3.07,3.82,4.09,0,3.73,3.59,3.9,3.75,3.42,3.84,3.79,3.72
,,,,,,,,,,,b,,,,egj,,,,,,,,,eg,,,,,,,,,,a,,,,,
,Base for stats,374,140,374,151,288,269,110,262,1,196,177,16,26,39,15,34,16,32,26,26,45,33,65,207,167,313,16,21,24,0,61,178,191,369,5,46,105,218
,Standard Deviation,0.989,1.076,0.989,1.016,0.992,0.968,0.874,1.035,0,0.99,0.973,0.53,1.095,0.749,0.895,1.141,0.979,1.073,1.001,0.864,0.939,1.122,0.954,0.96,1.023,0.994,0.935,0.88,0.878,0,0.97,0.979,0.981,0.991,0.87,1.11,1.034,0.927
,Error variance,*,0.01,*,0.01,*,*,0.01,*,0,0.01,0.01,0.02,0.05,0.01,0.05,0.04,0.06,0.03,0.04,0.03,0.02,0.04,0.01,*,0.01,*,0.05,0.04,0.03,0,0.02,0.01,0.01,*,0.15,0.03,0.01,*
,"Columns Tested: a,b,c - a,b - a,b,c - a,b - a,b,c,d,e,f,g,h,i,j,k,l - a,b - a,b,c,d,e,f - a,b,c,d - a,b,c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
