Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q26.3. Poor mental health: Thinking about your local community, what do you see as the main challenges facing young people (aged 16-24) today?By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,8976,4015,4913,933,1712,1863,1359,1747,1362,2645,3222,3109,3004,5972,2822,2887,1590,1020,657,5709,3267,4583,4333,7653,268,480,491,50,5832,3039,1799,1444,8064,745,5632,3041,6650,2219,4644,1463,1895,1286,3177,5455,3218,5114,3545
,Total,8976,4315,4613,1174,1488,1427,1447,1399,2041,2662,2874,3440,3098,5878,2005,2962,1812,1367,830,4968,4008,5127,3774,7598,168,713,304,160,5726,3137,1774,1545,8083,710,5517,3117,6466,2379,4459,1404,1782,1273,3373,5280,3367,4995,3624
,1,796,322,473,174,180,144,128,98,72,354,272,170,302,494,145,270,144,132,105,415,380,444,341,657,18,59,27,31,440,345,250,132,668,106,470,302,569,212,433,108,190,134,263,479,290,485,278
,,0.09,0.07,0.1,0.15,0.12,0.1,0.09,0.07,0.04,0.13,0.09,0.05,0.1,0.08,0.07,0.09,0.08,0.1,0.13,0.08,0.09,0.09,0.09,0.09,0.11,0.08,0.09,0.19,0.08,0.11,0.14,0.09,0.08,0.15,0.09,0.1,0.09,0.09,0.1,0.08,0.11,0.11,0.08,0.09,0.09,0.1,0.08
,,,,a,bcdefhi,defhi,efi,fi,fi,,cdefhi,efi,f,b,,,a,,a,abcfg,,a,,,,,,,acd,,ad,abd,,,a,,,,,be,,be,be,,,,b,
,2,866,330,528,142,170,165,174,102,113,312,340,215,320,547,176,305,179,114,92,481,386,464,399,692,21,89,29,30,494,368,243,168,777,70,519,317,650,212,460,134,186,140,300,511,329,532,304
,,0.1,0.08,0.11,0.12,0.11,0.12,0.12,0.07,0.06,0.12,0.12,0.06,0.1,0.09,0.09,0.1,0.1,0.08,0.11,0.1,0.1,0.09,0.11,0.09,0.13,0.12,0.1,0.19,0.09,0.12,0.14,0.11,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.09,0.1,0.1,0.11,0.08
,,,,a,efi,efi,efi,efi,f,,efi,efi,,,,,a,,,,,,,a,,a,a,,ad,,a,abd,a,,,,,,,e,,,e,,,,b,
,3,750,301,447,126,157,145,124,112,87,283,269,199,285,466,157,256,145,121,71,414,336,408,333,629,15,54,31,15,448,287,200,103,663,76,460,261,550,188,404,112,172,120,248,459,268,452,268
,,0.08,0.07,0.1,0.11,0.11,0.1,0.09,0.08,0.04,0.11,0.09,0.06,0.09,0.08,0.08,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.09,0.08,0.1,0.1,0.08,0.09,0.11,0.07,0.08,0.11,0.08,0.08,0.09,0.08,0.09,0.08,0.1,0.09,0.07,0.09,0.08,0.09,0.07
,,,,a,efi,efi,efi,fi,fi,,defi,fi,f,b,,,,,,,,,,,,,,,,,ad,abd,,,a,,,,,e,,e,e,,,,b,
,4,628,239,384,89,132,117,104,97,88,221,221,186,230,398,134,198,121,89,86,332,296,367,255,533,12,48,21,13,348,272,165,131,552,68,345,270,433,189,339,86,145,108,211,345,268,349,249
,,0.07,0.06,0.08,0.08,0.09,0.08,0.07,0.07,0.04,0.08,0.08,0.05,0.07,0.07,0.07,0.07,0.07,0.07,0.1,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.06,0.09,0.09,0.08,0.07,0.1,0.06,0.09,0.07,0.08,0.08,0.06,0.08,0.08,0.06,0.07,0.08,0.07,0.07
,,,,a,fi,efi,fi,fi,fi,,fi,fi,,,,,,,,abcdfg,,,,,,,,,,,a,a,a,,a,,a,,a,e,,be,be,,,a,,
,5,531,202,322,68,101,88,96,81,97,170,184,178,196,335,102,163,109,101,56,265,266,286,244,456,6,37,23,7,317,207,113,101,479,44,319,191,395,128,234,61,91,82,208,321,193,330,176
,,0.06,0.05,0.07,0.06,0.07,0.06,0.07,0.06,0.05,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.06,0.07,0.07,0.05,0.07,0.06,0.06,0.06,0.03,0.05,0.08,0.05,0.06,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.05,0.06,0.06,0.06,0.06,0.07,0.05
,,,,a,,fi,,f,,,fi,fi,,,,,,,abf,,,af,,,,,,b,,,a,,,,,,,,,,,,b,b,,,b,
,6,384,144,237,47,78,49,63,70,78,125,112,148,122,262,93,123,78,60,30,216,168,233,150,330,12,25,12,3,243,140,98,58,341,35,237,131,282,92,177,57,71,49,135,217,154,224,141
