Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q4a_3. Diet or eating habits: Which of the following, if any, are you concerned about on behalf of your child/children aged 0 - 5?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All those with children aged 0 - 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Age of child,,,Gender of child,,Age of parent,,,Gender of parent,,Regions,,,,,,,,,,,,SEG,,Ethnicity of parent,,,,,,Parental / Guardianship status,,,,Perspective on challenges relating to gender,,
,,Total,0-5,6-11,12-18,Male,Female,18-34,35-64,65+,Male,Female,Northern Ireland,Scotland,North-West,North-East,Yorkshire & The Humber,Wales,West Midlands,East Midlands,South-West,South-East,East of England,London,ABC1,C2DE,White,Mixed/multiple,Asian or Asian British,Black or Black British,Another ethnicity,NET: Ethnic minority,Mother,Father,Parents,Gaurdian,Growing up as a boy is more challenging,Growing up as a girl is more challenging,Equally difficult
,Significance Level: 95%,,a,b,c,a,b,a,b,*c,a,b,*a,b,c,d,e,f,g,h,i,j,k,l,a,b,a,b,c,d,*e,f,a,b,c,*d,a,b,c
,Unweighted Total,813,813,327,161,607,541,427,386,0,323,488,14,69,53,31,71,42,72,58,72,110,79,142,472,341,647,42,57,59,8,163,483,323,806,7,123,236,438
,Total,805,805,326,161,604,534,420,385,0,342,461,16,67,53,30,68,40,70,62,69,107,79,144,466,340,641,42,57,58,8,162,457,342,798,7,127,232,431
,1,107,107,53,25,89,69,51,55,0,51,56,2,9,4,5,8,4,7,6,9,14,13,25,66,41,86,8,7,6,0,21,56,51,107,0,19,26,60
,,0.13,0.13,0.16,0.16,0.15,0.13,0.12,0.14,0,0.15,0.12,0.14,0.13,0.08,0.16,0.13,0.1,0.1,0.1,0.13,0.13,0.16,0.18,0.14,0.12,0.13,0.19,0.12,0.1,0,0.13,0.12,0.15,0.13,0,0.15,0.11,0.14
,2,109,109,52,21,85,69,64,45,0,49,60,3,11,7,2,9,6,5,6,12,17,4,27,61,48,98,5,4,2,0,11,61,48,108,1,25,37,45
,,0.14,0.14,0.16,0.13,0.14,0.13,0.15,0.12,0,0.14,0.13,0.21,0.16,0.13,0.07,0.14,0.15,0.07,0.1,0.17,0.16,0.05,0.19,0.13,0.14,0.15,0.12,0.07,0.03,0,0.07,0.13,0.14,0.14,0.16,0.2,0.16,0.11
,,,,,,,,,,,,,,k,,,,,,,k,k,,gk,,,df,,,,,,,,,,c,c,
,3,102,102,39,21,71,74,56,46,0,33,69,2,11,8,3,11,5,12,12,6,9,10,15,61,42,87,5,5,5,0,15,68,33,101,1,12,25,61
,,0.13,0.13,0.12,0.13,0.12,0.14,0.13,0.12,0,0.1,0.15,0.14,0.17,0.15,0.1,0.16,0.11,0.17,0.19,0.08,0.08,0.12,0.11,0.13,0.12,0.14,0.12,0.09,0.09,0,0.09,0.15,0.1,0.13,0.14,0.1,0.11,0.14
,,,,,,,,,,,,a,,,,,,,,j,,,,,,,,,,,,,b,,,,,,
,4,85,85,32,17,70,47,44,40,0,40,45,2,8,8,3,6,8,9,3,3,14,11,10,52,33,68,5,5,6,0,16,42,40,83,2,17,25,43
,,0.1,0.1,0.1,0.1,0.12,0.09,0.11,0.1,0,0.12,0.1,0.14,0.12,0.15,0.1,0.08,0.19,0.13,0.05,0.04,0.13,0.14,0.07,0.11,0.1,0.11,0.12,0.09,0.1,0,0.1,0.09,0.12,0.1,0.28,0.13,0.11,0.1
,,,,,,,,,,,,,,,i,,,hil,,,,i,i,,,,,,,,,,,,,,,,
,5,70,70,22,11,51,43,37,33,0,33,36,3,6,7,2,5,3,3,7,5,10,5,14,41,28,49,3,8,8,1,20,35,34,70,0,9,27,34
,,0.09,0.09,0.07,0.07,0.09,0.08,0.09,0.09,0,0.1,0.08,0.22,0.09,0.14,0.06,0.07,0.07,0.04,0.12,0.07,0.09,0.06,0.09,0.09,0.08,0.08,0.07,0.14,0.14,0.12,0.12,0.08,0.1,0.09,0,0.07,0.12,0.08
,6,40,40,14,7,29,27,27,13,0,13,27,0,2,1,2,3,2,8,2,6,6,1,8,19,20,25,4,4,6,1,14,27,13,40,0,6,8,25
,,0.05,0.05,0.04,0.04,0.05,0.05,0.06,0.03,0,0.04,0.06,0,0.03,0.02,0.06,0.04,0.05,0.11,0.03,0.08,0.05,0.01,0.06,0.04,0.06,0.04,0.1,0.06,0.1,0.12,0.09,0.06,0.04,0.05,0,0.05,0.03,0.06
,,,,,,,,,,,,,,,,,,,k,,k,,,,,,,,,a,,a,,,,,,,
,Don't know,18,18,5,1,13,13,10,8,0,5,12,0,1,0,2,2,0,1,2,1,4,2,3,9,9,14,1,0,1,1,2,12,4,17,1,0,3,10
,,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0,0.02,0.03,0,0.02,0,0.06,0.03,0,0.01,0.04,0.02,0.04,0.02,0.02,0.02,0.03,0.02,0.03,0,0.02,0.12,0.01,0.03,0.01,0.02,0.13,0,0.01,0.02
,None of these,32,32,10,10,22,22,14,19,0,14,19,0,3,3,4,1,1,4,2,5,4,3,3,13,20,25,1,4,2,1,7,19,14,32,0,2,7,22
