Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q5a_8. Stranger danger: Which of the following, if any, are you concerned about on behalf of your child/children aged 6 - 11?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All those with children aged 6 - 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Age of child,,,Gender of child,,Age of parent,,,Gender of parent,,Regions,,,,,,,,,,,,SEG,,Ethnicity of parent,,,,,,Parental / Guardianship status,,,,Perspective on challenges relating to gender,,
,,Total,0-5,6-11,12-18,Male,Female,18-34,35-64,65+,Male,Female,Northern Ireland,Scotland,North-West,North-East,Yorkshire & The Humber,Wales,West Midlands,East Midlands,South-West,South-East,East of England,London,ABC1,C2DE,White,Mixed/multiple,Asian or Asian British,Black or Black British,Another ethnicity,NET: Ethnic minority,Mother,Father,Parents,Gaurdian,Growing up as a boy is more challenging,Growing up as a girl is more challenging,Equally difficult
,Significance Level: 95%,,a,b,c,a,b,a,b,*c,a,b,*a,b,c,d,e,f,g,h,i,j,k,l,a,b,a,b,c,d,*e,f,a,b,c,*d,a,b,c
,Unweighted Total,951,327,951,389,738,693,268,681,2,450,500,29,66,116,38,76,36,93,62,70,112,90,163,536,415,802,37,48,59,5,149,494,442,936,15,114,247,567
,Total,954,326,954,394,742,696,267,685,2,480,473,33,66,120,37,73,34,91,67,67,110,90,165,536,418,805,36,48,59,5,149,468,471,939,15,117,248,566
,1,72,26,72,26,55,49,19,53,0,35,36,2,4,5,3,5,5,11,7,8,8,7,8,41,31,61,3,3,5,0,11,38,34,72,0,6,27,38
,,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0,0.07,0.08,0.07,0.06,0.04,0.08,0.06,0.14,0.12,0.1,0.12,0.07,0.08,0.05,0.08,0.07,0.08,0.08,0.06,0.09,0,0.07,0.08,0.07,0.08,0,0.05,0.11,0.07
,,,,,,,,,,,,,,,,,,cl,l,,,,,,,,,,,,,,,,,,,c,
,2,81,18,81,29,60,56,16,64,1,35,46,3,5,5,5,5,4,10,6,8,10,6,14,41,40,72,3,4,2,0,9,45,33,78,3,12,16,52
,,0.09,0.06,0.09,0.07,0.08,0.08,0.06,0.09,0.5,0.07,0.1,0.1,0.07,0.04,0.13,0.06,0.11,0.11,0.1,0.11,0.1,0.07,0.09,0.08,0.1,0.09,0.08,0.08,0.03,0,0.06,0.1,0.07,0.08,0.21,0.1,0.07,0.09
,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,
,3,67,20,67,17,48,45,27,40,0,31,36,1,4,11,1,5,2,5,6,4,4,13,11,37,30,57,1,5,4,0,10,32,30,62,5,8,20,39
,,0.07,0.06,0.07,0.04,0.06,0.06,0.1,0.06,0,0.06,0.08,0.04,0.06,0.09,0.03,0.07,0.06,0.05,0.1,0.06,0.03,0.14,0.07,0.07,0.07,0.07,0.03,0.11,0.07,0,0.07,0.07,0.06,0.07,0.32,0.07,0.08,0.07
,,,,,,,,b,,,,,,,,,,,,,,,gj,,,,,,,,,,,,,,,,
,4,37,18,37,11,30,29,10,26,0,15,22,1,5,3,1,7,1,4,2,1,5,2,5,15,22,33,2,1,1,0,4,22,15,37,0,4,15,18
,,0.04,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0,0.03,0.05,0.04,0.08,0.02,0.03,0.09,0.03,0.04,0.03,0.02,0.04,0.02,0.03,0.03,0.05,0.04,0.05,0.02,0.02,0,0.03,0.05,0.03,0.04,0,0.03,0.06,0.03
,,,,,,,,,,,,,,,,,cil,,,,,,,,,,,,,,,,,,,,,c,
,5,20,7,20,8,12,14,4,17,0,12,9,2,2,0,0,1,1,2,2,1,4,3,2,12,8,20,0,0,0,0,0,10,11,20,0,3,3,13
