Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q4b_1. Friendships groups: To what extent do you feel equipped, if at all, to help your child/chilren aged 0 - 5, navigate the following?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All those with children aged 0 - 5 who are concerned about each statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Age of child,,,Gender of child,,Age of parent,,,Gender of parent,,Regions,,,,,,,,,,,,SEG,,Ethnicity of parent,,,,,,Parental / Guardianship status,,,,Perspective on challenges relating to gender,,
,,Total,0-5,6-11,12-18,Male,Female,18-34,35-64,65+,Male,Female,Northern Ireland,Scotland,North-West,North-East,Yorkshire & The Humber,Wales,West Midlands,East Midlands,South-West,South-East,East of England,London,ABC1,C2DE,White,Mixed/multiple,Asian or Asian British,Black or Black British,Another ethnicity,NET: Ethnic minority,Mother,Father,Parents,Gaurdian,Growing up as a boy is more challenging,Growing up as a girl is more challenging,Equally difficult
,Significance Level: 95%,,a,b,c,a,b,a,b,*c,a,b,*a,b,c,*d,e,*f,g,h,i,j,k,l,a,b,a,*b,c,d,*e,f,a,b,c,*d,a,b,c
,Unweighted Total,527,527,210,104,397,352,282,245,0,206,319,11,46,38,15,47,29,53,38,45,63,44,98,306,221,418,29,35,41,4,109,316,206,522,5,84,158,275
,Total,522,522,209,104,394,347,277,245,0,218,302,13,45,38,14,45,28,52,41,43,61,44,99,302,220,414,28,35,41,4,108,299,218,517,5,86,156,270
,Very equipped (5.0),92,92,44,25,73,61,50,41,0,48,44,0,7,6,3,3,9,6,4,3,8,9,34,46,46,75,5,4,7,1,17,45,46,92,0,36,22,34
,,0.18,0.18,0.21,0.24,0.19,0.18,0.18,0.17,0,0.22,0.15,0,0.15,0.16,0.2,0.06,0.34,0.11,0.1,0.07,0.13,0.2,0.34,0.15,0.21,0.18,0.18,0.11,0.17,0.25,0.16,0.15,0.21,0.18,0,0.41,0.14,0.13
,,,,,,,,,,,b,,,,,,,,,,,,,bceghij,,,,,,,,,,,,,bc,,
,Somewhat equipped (4.0),236,236,103,54,181,161,111,125,0,112,124,9,20,20,6,22,11,21,24,20,26,18,40,151,86,197,9,14,17,0,40,123,112,234,2,35,75,121
,,0.45,0.45,0.49,0.52,0.46,0.46,0.4,0.51,0,0.51,0.41,0.73,0.44,0.51,0.4,0.49,0.39,0.42,0.58,0.47,0.43,0.42,0.4,0.5,0.39,0.47,0.31,0.4,0.42,0,0.37,0.41,0.51,0.45,0.41,0.41,0.48,0.45
,,,,,,,,,a,,b,,,,,,,,,,,,,,b,,,,,,,,,a,,,,,
,Neither equipped nor unequipped (3.0),113,113,37,16,86,69,64,48,0,38,74,2,12,5,4,10,5,16,9,9,13,12,17,59,54,86,9,6,10,2,27,71,39,110,3,9,28,71
,,0.22,0.22,0.18,0.16,0.22,0.2,0.23,0.2,0,0.17,0.25,0.18,0.26,0.13,0.27,0.23,0.17,0.3,0.21,0.2,0.22,0.27,0.17,0.2,0.24,0.21,0.3,0.17,0.25,0.5,0.25,0.24,0.18,0.21,0.59,0.11,0.18,0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a
,Somewhat unequipped (2.0),63,63,20,6,46,40,40,23,0,16,46,1,5,6,1,8,3,8,4,7,11,4,7,35,28,48,4,7,3,1,15,47,16,63,0,6,21,36
,,0.12,0.12,0.1,0.05,0.12,0.11,0.14,0.09,0,0.07,0.15,0.09,0.1,0.15,0.06,0.17,0.1,0.15,0.1,0.15,0.17,0.09,0.07,0.12,0.13,0.12,0.14,0.2,0.07,0.25,0.14,0.16,0.07,0.12,0,0.07,0.13,0.13
,,,c,,,,,,,,,a,,,,,,,,,,l,,,,,,,,,,,b,,,,,,
,Not at all equipped (1.0),13,13,4,2,8,11,7,6,0,4,8,0,1,2,1,1,0,0,0,3,3,1,1,9,3,6,1,3,3,0,7,8,4,13,0,0,7,6
,,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0,0.02,0.03,0,0.02,0.05,0.06,0.02,0,0,0,0.07,0.05,0.02,0.01,0.03,0.01,0.01,0.03,0.09,0.07,0,0.06,0.03,0.02,0.02,0,0,0.05,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,a,,a,,,,,,a,
,Don't know,6,6,2,1,1,6,5,1,0,1,5,0,1,0,0,1,0,1,0,2,0,0,1,2,4,3,1,1,1,0,3,5,1,6,0,0,3,2
,,0.01,0.01,0.01,0.01,*%,0.02,0.02,*%,0,*%,0.02,0,0.02,0,0,0.02,0,0.02,0,0.04,0,0,0.01,0.01,0.02,0.01,0.03,0.03,0.02,0,0.03,0.02,*%,0.01,0,0,0.02,0.01
,,,,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NET: Equipped,328,328,146,79,254,222,162,167,0,159,168,9,26,26,9,25,20,27,28,23,34,27,74,196,132,271,14,18,24,1,57,168,158,326,2,71,97,156
,,0.63,0.63,0.7,0.76,0.64,0.64,0.58,0.68,0,0.73,0.56,0.73,0.59,0.66,0.6,0.56,0.73,0.53,0.69,0.54,0.56,0.62,0.74,0.65,0.6,0.66,0.49,0.52,0.59,0.25,0.53,0.56,0.72,0.63,0.41,0.82,0.62,0.58
,,,,,a,,,,a,,b,,,,,,,,,,,,,egij,,,f,,,,,,,ac,,,bc,,
,NET: Unequipped,76,76,24,8,54,50,47,29,0,20,55,1,6,8,2,8,3,8,4,9,13,5,8,45,31,54,5,10,6,1,22,56,20,76,0,6,28,42
,,0.14,0.14,0.11,0.07,0.14,0.15,0.17,0.12,0,0.09,0.18,0.09,0.13,0.21,0.13,0.19,0.1,0.15,0.1,0.22,0.22,0.11,0.08,0.15,0.14,0.13,0.17,0.29,0.14,0.25,0.2,0.19,0.09,0.15,0,0.07,0.18,0.15
,,,c,,,,,,,,,a,,,l,,,,,,l,l,,,,,,,a,,,,b,,,,,a,
,Mean score,3.64,3.64,3.78,3.92,3.68,3.65,3.58,3.71,0,3.84,3.5,3.64,3.61,3.56,3.61,3.42,3.97,3.5,3.69,3.34,3.43,3.69,4,3.62,3.67,3.7,3.48,3.26,3.55,3.25,3.43,3.51,3.83,3.64,3.41,4.16,3.55,3.53
,,,,,a,,,,,,b,,,,,,,,,,,,,bcegij,,,cf,,,,,,,ac,,,bc,,
,Base for stats,516,516,207,103,394,342,272,244,0,217,297,13,44,38,14,44,28,51,41,41,61,44,98,300,216,412,28,34,40,4,105,294,217,511,5,86,153,268
,Standard Deviation,0.989,0.989,0.948,0.889,0.972,1.004,1.028,0.941,0,0.916,1.015,0.668,0.956,1.1,1.115,0.93,0.974,0.898,0.805,1.064,1.07,0.982,0.95,0.983,0.998,0.946,1.078,1.191,1.099,1.273,1.12,1.026,0.915,0.992,0.55,0.888,1.042,0.95
,Error variance,*,*,*,0.01,*,*,*,*,0,*,*,0.04,0.02,0.03,0.08,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.01,*,*,*,0.04,0.04,0.03,0.4,0.01,*,*,*,0.06,0.01,0.01,*
