Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q7_W3.4. Plenty of sports facilities and clubs for people to join: Thinking about what would benefit your local community, which of the following areas related to the physical environment do you think are most important?By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,English region,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,North-West,North-East,Yorkshire & Humberside,West Midlands,East Midlands,South-West,South-East,Eastern,London,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,6241,2812,3396,663,1162,1266,943,1226,981,1825,2209,2207,802,296,623,647,519,675,1019,691,969,2105,4136,1996,2009,1138,681,417,4005,2236,3258,2940,5064,240,446,421,42,4108,2058,1189,992,5627,489,3850,2171,4567,1590,3235,1022,1294,919,2217,3719,2304,3568,2432
,Total,6241,3007,3201,823,1041,1004,1006,961,1406,1864,2010,2367,817,294,612,647,542,640,1027,697,967,2156,4085,1426,2086,1242,933,553,3513,2728,3579,2609,5152,131,557,243,130,4004,2157,1216,1066,5623,486,3806,2198,4476,1669,3109,980,1229,899,2346,3636,2376,3487,2495
,1,364,207,155,65,91,65,46,39,59,156,111,98,44,25,22,44,30,45,66,32,56,123,241,82,136,82,43,22,218,146,191,171,260,13,56,25,9,267,90,49,40,333,22,252,108,281,82,218,78,89,52,106,241,120,220,136
,,0.06,0.07,0.05,0.08,0.09,0.06,0.05,0.04,0.04,0.08,0.06,0.04,0.05,0.09,0.04,0.07,0.06,0.07,0.06,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.05,0.04,0.06,0.05,0.05,0.07,0.05,0.1,0.1,0.1,0.07,0.07,0.04,0.04,0.04,0.06,0.04,0.07,0.05,0.06,0.05,0.07,0.08,0.07,0.06,0.05,0.07,0.05,0.06,0.05
,,,b,,defhi,cdefhi,efi,,,,cdefhi,i,,,ch,,c,,ch,c,,,,,,e,e,,,,,,a,,a,a,a,,bcd,,,,,,b,,,,e,e,e,,,b,,,
,2,457,237,219,69,97,88,62,54,86,166,150,140,57,17,48,38,35,37,99,43,84,174,283,110,162,93,59,33,272,185,232,224,364,13,39,23,16,301,153,88,76,413,39,282,162,340,113,274,90,97,86,130,282,162,263,177
,,0.07,0.08,0.07,0.08,0.09,0.09,0.06,0.06,0.06,0.09,0.07,0.06,0.07,0.06,0.08,0.06,0.06,0.06,0.1,0.06,0.09,0.08,0.07,0.08,0.08,0.07,0.06,0.06,0.08,0.07,0.06,0.09,0.07,0.1,0.07,0.1,0.12,0.08,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.08,0.07,0.09,0.09,0.08,0.1,0.06,0.08,0.07,0.08,0.07
,,,,,ei,defi,defi,,,,defi,ei,,,,,,,,abdefh,,df,,,,,,,,,,,a,,,,,,,,,,,,,,,,e,e,e,e,,,,,
,3,484,225,254,70,80,90,80,68,96,149,170,164,73,28,41,30,51,49,97,49,66,162,322,124,166,96,72,26,289,194,261,222,382,11,55,28,6,308,171,98,76,444,37,299,170,359,113,257,90,95,72,158,292,175,253,215
,,0.08,0.07,0.08,0.08,0.08,0.09,0.08,0.07,0.07,0.08,0.08,0.07,0.09,0.09,0.07,0.05,0.09,0.08,0.09,0.07,0.07,0.08,0.08,0.09,0.08,0.08,0.08,0.05,0.08,0.07,0.07,0.08,0.07,0.09,0.1,0.12,0.05,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.09
,,,,,,,i,,,,,,,d,d,,,d,d,di,,,,,e,e,e,e,,e,,,,,,,a,,,,,,,,,,,,e,e,,,,,,,
,4,467,205,260,80,80,75,67,71,94,160,143,165,75,23,38,41,35,49,67,61,77,169,298,110,152,107,66,33,261,206,271,195,384,9,40,19,12,315,147,90,72,422,40,265,181,329,134,219,65,91,63,179,249,199,277,173
,,0.07,0.07,0.08,0.1,0.08,0.08,0.07,0.07,0.07,0.09,0.07,0.07,0.09,0.08,0.06,0.06,0.06,0.08,0.07,0.09,0.08,0.08,0.07,0.08,0.07,0.09,0.07,0.06,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.09,0.08,0.07,0.07,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.08,0.07,0.08,0.08,0.07
,,,,,dfhi,,,,,,,,,cdg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,,
,5,534,267,265,65,96,71,95,76,132,161,165,208,68,18,62,49,54,56,86,63,79,175,359,126,186,88,80,55,312,222,339,194,467,10,32,18,6,336,193,107,101,468,52,291,222,357,167,226,67,94,65,243,297,215,279,234
,,0.09,0.09,0.08,0.08,0.09,0.07,0.09,0.08,0.09,0.09,0.08,0.09,0.08,0.06,0.1,0.08,0.1,0.09,0.08,0.09,0.08,0.08,0.09,0.09,0.09,0.07,0.09,0.1,0.09,0.08,0.09,0.07,0.09,0.07,0.06,0.07,0.05,0.08,0.09,0.09,0.09,0.08,0.11,0.08,0.1,0.08,0.1,0.07,0.07,0.08,0.07,0.1,0.08,0.09,0.08,0.09
,,,,,,,,c,,c,,,,,,b,,,,,,,,,,,,,,,,b,,c,,,,,,,,,,,,a,,a,,,,,abcd,,,,
,6,624,292,327,75,93,89,99,120,147,169,188,267,84,35,55,74,50,60,95,67,102,196,428,145,211,121,85,62,357,267,355,268,531,13,48,16,13,399,217,128,113,563,49,348,254,426,189,275,88,110,77,262,349,248,326,269
,,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.12,0.1,0.09,0.09,0.11,0.1,0.12,0.09,0.11,0.09,0.09,0.09,0.1,0.11,0.09,0.1,0.1,0.1,0.1,0.09,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.07,0.1,0.1,0.1,0.11,0.11,0.1,0.1,0.09,0.12,0.1,0.11,0.09,0.09,0.09,0.09,0.11,0.1,0.1,0.09,0.11
,,,,,,,,,abcgh,,,,bcgh,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,a,,a,,,,,acd,,,,
,7,813,349,463,62,119,120,130,150,232,181,250,382,105,25,84,87,80,78,133,113,108,231,582,197,251,172,114,79,447,365,472,337,716,8,53,18,16,520,288,150,155,738,62,505,280,593,206,332,108,133,92,348,487,299,462,307
