Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q4. Compared with 10 years ago (i.e. 2012), do you feel there are more or less women in leadership positions (e.g. in business, politics) in your country?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Brazil,China,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Russia,Saudi Arabia,Turkey,UK,Ukraine,USA,18-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Working (full time or part time),Not working,In education,Retired,"Other (incl. house wife, full time carer)",Single,NET: In a relationship,Living as a couple/Co-habiting,Married / civil partnership,Separated/divorced/widowed
,Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,a,b,c,d,e,f,g,h,i,a,b,c,d,e,a,b,c,d,e
,Unweighted Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2783,3933,3188,2452,1800,1567,6716,5640,3367,9808,1729,1142,1391,1653,4049,9699,2237,7462,1792
,Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2585,3428,3037,2724,2084,1865,6014,5761,3949,9703,1725,1078,1586,1631,3857,9765,2304,7461,1931
,Much more,5325,351,366,519,483,317,449,489,319,257,246,499,318,185,238,289,887,1253,1113,881,655,537,2140,1993,1192,3538,469,351,403,564,1270,3478,776,2703,526
,,0.34,0.35,0.36,0.49,0.44,0.3,0.44,0.44,0.31,0.26,0.24,0.49,0.27,0.17,0.24,0.28,0.34,0.37,0.37,0.32,0.31,0.29,0.36,0.35,0.3,0.36,0.27,0.33,0.25,0.35,0.33,0.36,0.34,0.36,0.27
,,,eijlmno,ehijlmno,abdefghijlmno,abehijlmno,ijmn,abehijlmno,abehijlmno,ijlmn,m,m,abdefghijlmno,mn,,m,mn,efi,defi,defi,f,,,defi,defi,,bcd,,bd,,bd,e,ae,e,ace,
,Slightly more,6467,472,475,411,336,449,411,443,352,454,422,338,384,615,465,438,987,1384,1189,1135,878,893,2371,2324,1772,4026,661,409,746,624,1533,4042,986,3056,843
,,0.41,0.47,0.46,0.38,0.3,0.42,0.4,0.4,0.35,0.45,0.42,0.33,0.33,0.58,0.46,0.42,0.38,0.4,0.39,0.42,0.42,0.48,0.39,0.4,0.45,0.41,0.38,0.38,0.47,0.38,0.4,0.41,0.43,0.41,0.44
,,,cdefghjklo,cdfghjkl,dkl,,dhkl,dhkl,dhkl,d,cdfghkl,dhkl,,,abcdefghijklno,cdfghkl,dhkl,,,,a,acg,abcdeghi,,,abcdgh,bce,,,abce,,,,a,,ad
,About the same,2103,83,135,83,137,159,66,128,147,83,215,85,222,168,187,204,310,396,391,401,337,269,705,792,606,1208,305,126,261,204,516,1241,271,969,316
,,0.13,0.08,0.13,0.08,0.12,0.15,0.06,0.12,0.14,0.08,0.21,0.08,0.19,0.16,0.19,0.2,0.12,0.12,0.13,0.15,0.16,0.14,0.12,0.14,0.15,0.12,0.18,0.12,0.16,0.12,0.13,0.13,0.12,0.13,0.16
,,,,acfik,,acfik,acfgik,,acfik,acfik,,abcdefghikm,,abcdefghikm,acdfgik,abcdefghik,abcdefghikm,,,,abcg,abcgh,abg,,abg,abcgh,,ace,,ace,,,,,,abcd
,Slightly less,984,63,29,27,87,91,61,26,108,113,49,54,135,54,27,59,212,208,199,171,105,90,419,369,195,568,132,93,76,116,284,567,155,412,119
,,0.06,0.06,0.03,0.03,0.08,0.09,0.06,0.02,0.11,0.11,0.05,0.05,0.12,0.05,0.03,0.06,0.08,0.06,0.07,0.06,0.05,0.05,0.07,0.06,0.05,0.06,0.08,0.09,0.05,0.07,0.07,0.06,0.07,0.06,0.06
,,,bcgn,,,bcgjkmno,abcfgjkmno,bcgn,,abcdfgjkmno,abcdefgjkmno,bcgn,bcgn,abcdefgjkmno,bcgn,,bcgn,bcdefghi,i,efi,i,,,efi,efi,,,ad,ad,,ad,bd,,d,,
,Much less,512,27,8,14,46,30,32,19,86,77,16,23,86,16,10,23,130,131,85,82,51,32,261,167,84,255,85,71,34,67,167,261,60,201,71
,,0.03,0.03,0.01,0.01,0.04,0.03,0.03,0.02,0.08,0.08,0.02,0.02,0.07,0.01,0.01,0.02,0.05,0.04,0.03,0.03,0.02,0.02,0.04,0.03,0.02,0.03,0.05,0.07,0.02,0.04,0.04,0.03,0.03,0.03,0.04
