Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q5b_3. Diet or eating habits: To what extent do you feel equipped, if at all, to help your child/chilren aged 6 - 11, navigate the following?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All those with children aged 6 - 11 who are concerned about each statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Age of child,,,Gender of child,,Age of parent,,,Gender of parent,,Regions,,,,,,,,,,,,SEG,,Ethnicity of parent,,,,,,Parental / Guardianship status,,,,Perspective on challenges relating to gender,,
,,Total,0-5,6-11,12-18,Male,Female,18-34,35-64,65+,Male,Female,Northern Ireland,Scotland,North-West,North-East,Yorkshire & The Humber,Wales,West Midlands,East Midlands,South-West,South-East,East of England,London,ABC1,C2DE,White,Mixed/multiple,Asian or Asian British,Black or Black British,Another ethnicity,NET: Ethnic minority,Mother,Father,Parents,Gaurdian,Growing up as a boy is more challenging,Growing up as a girl is more challenging,Equally difficult
,Significance Level: 95%,,a,b,c,a,b,a,b,*c,a,b,*a,b,c,*d,e,*f,g,*h,*i,j,k,l,a,b,a,*b,*c,*d,*e,f,a,b,c,*d,a,b,c
,Unweighted Total,401,148,401,154,307,285,112,288,1,186,214,10,30,48,15,38,18,36,24,29,44,36,73,230,171,335,16,22,27,1,66,214,181,395,6,52,110,233
,Total,401,147,401,156,308,285,110,290,1,198,202,12,30,49,15,36,17,36,26,27,43,36,74,229,172,336,16,22,27,1,65,202,193,395,6,53,110,232
,Very equipped (5.0),80,29,80,33,64,51,26,54,0,49,31,3,5,10,3,4,5,6,3,3,6,10,22,47,33,70,1,4,5,0,10,31,49,80,0,22,22,35
,,0.2,0.19,0.2,0.21,0.21,0.18,0.24,0.19,0,0.25,0.16,0.3,0.17,0.21,0.21,0.1,0.28,0.17,0.13,0.1,0.13,0.28,0.29,0.2,0.2,0.21,0.06,0.19,0.19,0,0.15,0.15,0.25,0.2,0,0.4,0.2,0.15
,,,,,,,,,,,b,,,,,,,,,,,,,ej,,,,,,,,,,a,,,bc,,
,Somewhat equipped (4.0),200,70,200,84,155,146,46,154,0,99,101,6,14,24,8,19,8,14,15,15,22,19,36,124,76,167,10,11,13,0,34,100,96,196,4,20,57,122
,,0.5,0.47,0.5,0.54,0.5,0.51,0.42,0.53,0,0.5,0.5,0.5,0.47,0.5,0.53,0.53,0.44,0.38,0.58,0.55,0.51,0.53,0.49,0.54,0.44,0.5,0.63,0.5,0.48,0,0.51,0.5,0.5,0.5,0.67,0.38,0.52,0.53
,,,,,,,,,a,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,
,Neither equipped nor unequipped (3.0),66,19,66,22,49,48,16,49,1,24,41,1,7,8,3,7,3,8,4,6,8,3,8,34,32,55,2,5,4,0,11,43,22,65,1,5,22,38
,,0.16,0.13,0.16,0.14,0.16,0.17,0.14,0.17,1,0.12,0.21,0.1,0.23,0.16,0.2,0.21,0.16,0.23,0.16,0.21,0.18,0.08,0.11,0.15,0.19,0.16,0.12,0.22,0.15,0,0.16,0.21,0.12,0.16,0.17,0.1,0.2,0.16
,,,,,,,,,,,,a,,,,,,,,,,,,,,,,,,,,,b,,,,,,
,Somewhat unequipped (2.0),43,24,43,12,32,30,18,25,0,20,21,1,3,5,1,4,1,5,2,4,7,4,6,17,25,37,3,1,2,0,6,22,20,42,1,5,8,29
