Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q9. Compared with 10 years ago (i.e. 2012), do you feel more or less safe expressing your honest opinions online in your country?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Brazil,China,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Russia,Saudi Arabia,Turkey,UK,Ukraine,USA,18-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Working (full time or part time),Not working,In education,Retired,"Other (incl. house wife, full time carer)",Single,NET: In a relationship,Living as a couple/Co-habiting,Married / civil partnership,Separated/divorced/widowed
,Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,a,b,c,d,e,f,g,h,i,a,b,c,d,e,a,b,c,d,e
,Unweighted Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2783,3933,3188,2452,1800,1567,6716,5640,3367,9808,1729,1142,1391,1653,4049,9699,2237,7462,1792
,Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2585,3428,3037,2724,2084,1865,6014,5761,3949,9703,1725,1078,1586,1631,3857,9765,2304,7461,1931
,Much safer,4463,288,436,447,428,266,382,355,306,224,108,365,317,72,328,139,741,1105,914,748,553,401,1846,1662,955,3150,354,272,294,392,942,3089,685,2403,395
,,0.28,0.29,0.43,0.42,0.39,0.25,0.37,0.32,0.3,0.22,0.11,0.36,0.27,0.07,0.33,0.13,0.29,0.32,0.3,0.27,0.27,0.22,0.31,0.29,0.24,0.32,0.21,0.25,0.19,0.24,0.24,0.32,0.3,0.32,0.2
,,,ijmo,aefghijklmno,aefghijklmno,aeghijlmno,jmo,aeghijlmno,eijlmo,eijmo,jmo,m,aehijlmo,ijmo,,eijlmo,m,fi,adefhi,defi,fi,f,,adefhi,fi,f,bcde,,bd,,bd,e,ae,ae,ace,
,Slightly safer,4914,336,391,317,387,344,414,455,385,352,195,337,317,229,268,188,835,1144,939,920,592,483,1979,1859,1076,3237,515,351,356,456,1245,3126,762,2365,501
,,0.31,0.33,0.38,0.3,0.35,0.32,0.41,0.41,0.38,0.35,0.19,0.33,0.27,0.21,0.27,0.18,0.32,0.33,0.31,0.34,0.28,0.26,0.33,0.32,0.27,0.33,0.3,0.33,0.22,0.28,0.32,0.32,0.33,0.32,0.26
,,,jlmno,acejklmno,jmo,cjlmno,jlmno,acdeijklmno,acdeijklmno,acejklmno,cjlmno,,jlmno,jmo,,jmo,,efi,cefi,fi,cefi,,,cefi,efi,,bde,d,de,,d,e,e,e,e,
,About the same,3064,138,104,153,139,222,96,195,130,148,331,196,168,458,239,347,453,554,588,526,469,474,1007,1114,943,1653,399,187,444,382,792,1755,428,1327,486
,,0.19,0.14,0.1,0.14,0.13,0.21,0.09,0.18,0.13,0.15,0.33,0.19,0.14,0.43,0.24,0.33,0.18,0.16,0.19,0.19,0.22,0.25,0.17,0.19,0.24,0.17,0.23,0.17,0.28,0.23,0.21,0.18,0.19,0.18,0.25
,,,bf,,bf,f,abcdfghil,,abcdfhl,f,bf,abcdefghikln,abcdfhil,bf,abcdefghijklno,abcdfghikl,abcdefghikln,,,bg,bg,abcdgh,abcdegh,,abg,abcdgh,,ac,,abce,ac,bd,,,,abcd
,Slightly less safe,1765,145,51,75,96,174,92,57,110,138,162,58,172,183,77,174,317,352,340,270,233,254,669,610,486,984,237,142,213,190,489,996,228,768,262
,,0.11,0.14,0.05,0.07,0.09,0.16,0.09,0.05,0.11,0.14,0.16,0.06,0.15,0.17,0.08,0.17,0.12,0.1,0.11,0.1,0.11,0.14,0.11,0.11,0.12,0.1,0.14,0.13,0.13,0.12,0.13,0.1,0.1,0.1,0.14
,,,bcdfghkn,,b,bgk,bcdfghkn,bgk,,bcgkn,bcdfghkn,bcdfghkn,,bcdfghkn,bcdfghikn,bg,bcdfghkn,bdh,,,,,bcdegh,,,bdh,,a,a,a,,bcd,,,,bcd
,Much less safe,1135,83,35,55,37,41,30,31,72,111,149,28,171,81,60,152,183,220,190,198,172,172,402,388,345,557,149,91,195,144,303,614,151,463,199
,,0.07,0.08,0.03,0.05,0.03,0.04,0.03,0.03,0.07,0.11,0.15,0.03,0.15,0.08,0.06,0.15,0.07,0.06,0.06,0.07,0.08,0.09,0.07,0.07,0.09,0.06,0.09,0.08,0.12,0.09,0.08,0.06,0.07,0.06,0.1
,,,bcdefgkn,,dfgk,,,,,bdefgk,abcdefghkmn,abcdefghikmn,,abcdefghikmn,bcdefgk,bdefgk,abcdefghikmn,,,,,bcgh,abcdgh,,,abcdgh,,a,a,abce,a,bd,,,,abcd
,Don't know,382,18,7,20,21,14,7,15,15,33,65,28,15,45,37,41,56,54,67,61,64,81,110,128,145,123,71,36,85,68,85,185,50,135,89
,,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.06,0.03,0.01,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.03,0.04,0.02,0.02,0.04,0.01,0.04,0.03,0.05,0.04,0.02,0.02,0.02,0.02,0.05
,,,bf,,bf,bf,,,,,abcdefghl,abcdefghiklmno,befghl,,abcdefghl,abcdefghl,abcdefghl,,,,,bgh,abcdgh,,b,abcdgh,,a,a,ac,a,,,,,abcd
,NET: Safer,9377,624,828,764,814,610,796,811,692,576,303,702,635,300,596,327,1576,2249,1853,1668,1146,884,3825,3521,2030,6387,869,623,650,848,2187,6215,1447,4768,896
,,0.6,0.62,0.81,0.72,0.74,0.58,0.78,0.73,0.68,0.57,0.3,0.69,0.55,0.28,0.59,0.31,0.61,0.66,0.61,0.61,0.55,0.47,0.64,0.61,0.51,0.66,0.5,0.58,0.41,0.52,0.57,0.64,0.63,0.64,0.46
,,,eijlmo,acdeghijklmno,aeijlmno,aehijklmno,jmo,acdeghijklmno,aehijlmno,aeijlmno,jmo,,aeijlmno,jmo,,jlmo,,efi,acdefghi,efi,efi,fi,,acdefhi,efi,f,bcde,d,bde,,d,e,ae,ae,ae,
,NET: Less safe,2900,229,86,130,133,215,123,89,181,249,311,86,343,263,137,327,500,571,529,469,405,426,1071,998,831,1541,386,233,407,333,792,1610,379,1231,460
,,0.18,0.23,0.08,0.12,0.12,0.2,0.12,0.08,0.18,0.25,0.31,0.09,0.3,0.25,0.14,0.31,0.19,0.17,0.17,0.17,0.19,0.23,0.18,0.17,0.21,0.16,0.22,0.22,0.26,0.2,0.21,0.16,0.16,0.17,0.24
,,,bcdfghkn,,bgk,bgk,bcdfgkn,bgk,,bcdfgkn,bcdefghkn,abcdefghikmn,,abcdefghikmn,bcdefghkn,bgk,abcdefghikmn,bdh,,,,bh,abcdegh,,,bcdgh,,a,a,abce,a,bcd,,,,abcd
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k,l,m,n,o - a,b,c,d,e,f,g,h,i - a,b,c,d,e - a,b,c,d,e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
