Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q5a_12. Excessive screen time: Which of the following, if any, are you concerned about on behalf of your child/children aged 6 - 11?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All those with children aged 6 - 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Age of child,,,Gender of child,,Age of parent,,,Gender of parent,,Regions,,,,,,,,,,,,SEG,,Ethnicity of parent,,,,,,Parental / Guardianship status,,,,Perspective on challenges relating to gender,,
,,Total,0-5,6-11,12-18,Male,Female,18-34,35-64,65+,Male,Female,Northern Ireland,Scotland,North-West,North-East,Yorkshire & The Humber,Wales,West Midlands,East Midlands,South-West,South-East,East of England,London,ABC1,C2DE,White,Mixed/multiple,Asian or Asian British,Black or Black British,Another ethnicity,NET: Ethnic minority,Mother,Father,Parents,Gaurdian,Growing up as a boy is more challenging,Growing up as a girl is more challenging,Equally difficult
,Significance Level: 95%,,a,b,c,a,b,a,b,*c,a,b,*a,b,c,d,e,f,g,h,i,j,k,l,a,b,a,b,c,d,*e,f,a,b,c,*d,a,b,c
,Unweighted Total,951,327,951,389,738,693,268,681,2,450,500,29,66,116,38,76,36,93,62,70,112,90,163,536,415,802,37,48,59,5,149,494,442,936,15,114,247,567
,Total,954,326,954,394,742,696,267,685,2,480,473,33,66,120,37,73,34,91,67,67,110,90,165,536,418,805,36,48,59,5,149,468,471,939,15,117,248,566
,1,113,39,113,52,86,84,20,93,0,55,58,1,14,10,5,6,3,11,10,9,18,9,17,72,41,95,4,6,8,0,18,57,53,110,3,12,25,74
,,0.12,0.12,0.12,0.13,0.12,0.12,0.07,0.14,0,0.11,0.12,0.03,0.21,0.09,0.13,0.08,0.08,0.12,0.14,0.13,0.17,0.1,0.11,0.13,0.1,0.12,0.11,0.12,0.14,0,0.12,0.12,0.11,0.12,0.2,0.11,0.1,0.13
,,,,,,,,,a,,,,,cel,,,,,,,,,,,,,,,,,,,,,,,,,
,2,79,23,79,31,60,59,16,63,0,38,41,2,9,8,3,3,0,8,7,10,12,8,10,48,31,70,2,3,3,1,9,40,37,77,2,8,24,45
,,0.08,0.07,0.08,0.08,0.08,0.08,0.06,0.09,0,0.08,0.09,0.07,0.14,0.06,0.08,0.04,0,0.09,0.1,0.14,0.11,0.09,0.06,0.09,0.07,0.09,0.05,0.06,0.05,0.2,0.06,0.08,0.08,0.08,0.13,0.07,0.1,0.08
,,,,,,,,,,,,,,ef,,,,,,,efl,f,,,,,,,,,,,,,,,,,
,3,65,24,65,28,49,51,21,45,0,37,28,1,7,5,5,7,3,8,4,3,9,5,7,35,30,52,3,3,8,0,14,28,36,64,1,5,21,38
,,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0,0.08,0.06,0.03,0.11,0.05,0.13,0.1,0.09,0.09,0.06,0.04,0.08,0.06,0.04,0.07,0.07,0.06,0.08,0.06,0.13,0,0.09,0.06,0.08,0.07,0.07,0.05,0.08,0.07
,,,,,,,,,,,,,,,,l,,,,,,,,,,,,,,a,,,,,,,,,
,4,55,22,55,17,45,38,14,41,0,26,29,2,2,5,3,2,4,4,3,7,7,8,7,32,23,48,2,1,4,0,7,29,24,54,1,5,14,36
,,0.06,0.07,0.06,0.04,0.06,0.05,0.05,0.06,0,0.05,0.06,0.07,0.03,0.04,0.08,0.03,0.11,0.04,0.05,0.11,0.07,0.09,0.04,0.06,0.06,0.06,0.05,0.02,0.07,0,0.05,0.06,0.05,0.06,0.07,0.05,0.06,0.06
,,,,,,,,,,,,,,,,,,,,,e,,,,,,,,,,,,,,,,,,
,5,56,20,56,19,42,39,11,46,0,30,26,1,0,6,1,5,0,3,7,5,9,5,15,35,21,45,0,6,5,0,11,27,29,55,1,8,18,30
