Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q3. Compared with 10 years ago (i.e. 2012), do you feel responsibilities in the home (e.g. cooking, cleaning, child care) are now split more or less equally between men and women in your country?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Brazil,China,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Russia,Saudi Arabia,Turkey,UK,Ukraine,USA,18-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Working (full time or part time),Not working,In education,Retired,"Other (incl. house wife, full time carer)",Single,NET: In a relationship,Living as a couple/Co-habiting,Married / civil partnership,Separated/divorced/widowed
,Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,a,b,c,d,e,f,g,h,i,a,b,c,d,e,a,b,c,d,e
,Unweighted Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2783,3933,3188,2452,1800,1567,6716,5640,3367,9808,1729,1142,1391,1653,4049,9699,2237,7462,1792
,Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2585,3428,3037,2724,2084,1865,6014,5761,3949,9703,1725,1078,1586,1631,3857,9765,2304,7461,1931
,Much more equally,4423,301,464,377,461,272,311,452,303,160,136,296,292,197,163,240,715,1027,936,787,523,435,1742,1722,958,3161,338,267,283,374,993,3018,657,2361,378
,,0.28,0.3,0.45,0.35,0.42,0.26,0.3,0.41,0.3,0.16,0.13,0.29,0.25,0.18,0.16,0.23,0.28,0.3,0.31,0.29,0.25,0.23,0.29,0.3,0.24,0.33,0.2,0.25,0.18,0.23,0.26,0.31,0.29,0.32,0.2
,,,eijlmno,acefghijklmno,aefhijklmno,acefhijklmno,ijmn,eijlmno,acefhijklmno,eijlmno,,,ijlmno,ijmn,j,,ijmn,fi,aefi,aefi,efi,,,efi,aefi,,bcde,,bd,,bd,e,ace,ae,ace,
,Slightly more equally,4808,392,368,286,325,313,374,384,293,286,259,315,368,346,224,274,867,1129,863,815,560,573,1996,1679,1133,3163,447,349,446,403,1214,3031,686,2345,522
,,0.31,0.39,0.36,0.27,0.29,0.29,0.37,0.35,0.29,0.28,0.26,0.31,0.32,0.32,0.22,0.26,0.34,0.33,0.28,0.3,0.27,0.31,0.33,0.29,0.29,0.33,0.26,0.32,0.28,0.25,0.31,0.31,0.3,0.31,0.27
,,,cdeghijklmno,cdehijklno,n,n,n,cdehijklmno,cdehijno,n,n,,cjno,cjno,cijno,,n,cdehi,cdehi,,e,,e,cdehi,,,bde,,bde,e,,e,e,,e,
,About the same,4089,190,131,278,171,312,131,182,189,213,428,279,294,393,532,363,520,714,762,747,709,636,1234,1509,1346,2195,559,227,629,479,961,2391,595,1796,704
,,0.26,0.19,0.13,0.26,0.15,0.29,0.13,0.16,0.19,0.21,0.42,0.28,0.25,0.37,0.53,0.35,0.2,0.21,0.25,0.27,0.34,0.34,0.21,0.26,0.34,0.23,0.32,0.21,0.4,0.29,0.25,0.24,0.26,0.24,0.36
,,,bdf,,abdfghi,,abdfghil,,bf,bf,bdfg,abcdefghiklmo,abdfghi,abdfghi,abcdefghikl,abcdefghijklmo,abcdefghikl,,,abg,abcg,abcdgh,abcdgh,,abg,abcdgh,,ac,,abce,ac,,,,,abcd
,Slightly less equally,1204,75,27,60,87,110,118,46,123,150,83,45,112,72,29,68,225,271,263,198,143,103,496,461,247,661,160,102,96,185,312,730,183,547,136
,,0.08,0.07,0.03,0.06,0.08,0.1,0.12,0.04,0.12,0.15,0.08,0.04,0.1,0.07,0.03,0.07,0.09,0.08,0.09,0.07,0.07,0.06,0.08,0.08,0.06,0.07,0.09,0.09,0.06,0.11,0.08,0.07,0.08,0.07,0.07
,,,bgkn,,bn,bcgkn,abcdgkmno,abcdgjkmno,b,abcdgjkmno,abcdefgjklmno,bcgkn,b,bcgkmno,bgkn,,bgkn,efi,fi,efi,f,,,fi,fi,,,ad,ad,,abd,,,,,
,Much less equally,928,35,33,51,52,44,86,31,103,163,62,59,86,31,25,67,187,252,180,136,97,77,439,316,174,431,158,100,76,164,270,514,153,362,125
,,0.06,0.03,0.03,0.05,0.05,0.04,0.08,0.03,0.1,0.16,0.06,0.06,0.07,0.03,0.02,0.06,0.07,0.07,0.06,0.05,0.05,0.04,0.07,0.05,0.04,0.04,0.09,0.09,0.05,0.1,0.07,0.05,0.07,0.05,0.06
,,,,,gmn,gmn,n,abcdegjkmn,,abcdegjklmno,abcdefghjklmno,abegmn,abgmn,abcdegmn,,,abegmn,cdefhi,cdefhi,fi,,,,cdefhi,fi,,,ad,ad,,ad,bd,,bd,,bd
,Don't know,271,15,2,15,11,10,3,13,7,34,42,19,8,26,35,30,71,35,33,41,51,40,106,74,91,92,63,32,57,27,109,80,30,50,65
,,0.02,0.01,*%,0.01,0.01,0.01,*%,0.01,0.01,0.03,0.04,0.02,0.01,0.02,0.04,0.03,0.03,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.04,0.03,0.04,0.02,0.03,0.01,0.01,0.01,0.03
,,,bf,,bf,bf,bf,,bf,,abcdefghkl,abcdefghklm,bfhl,,bdefghl,abcdefghkl,abcdefghl,bcdgh,,,,bcdh,bch,bch,,bcdh,,ae,ae,ae,a,bcd,,bd,,bcd
,NET: More equally,9231,693,832,663,787,585,684,836,595,446,396,610,660,544,387,514,1583,2156,1799,1602,1084,1008,3738,3401,2092,6325,786,616,728,776,2206,6050,1344,4706,901
,,0.59,0.69,0.81,0.62,0.71,0.55,0.67,0.75,0.58,0.44,0.39,0.6,0.57,0.51,0.38,0.49,0.61,0.63,0.59,0.59,0.52,0.54,0.62,0.59,0.53,0.65,0.46,0.57,0.46,0.48,0.57,0.62,0.58,0.63,0.47
,,,cehijklmno,acdefghijklmno,eijlmno,cefhijklmno,ijno,cehijklmno,acdefhijklmno,ijmno,jn,,eijmno,ijmno,ijn,,ijn,efi,cdefhi,efi,efi,,,cdefhi,efi,,bcde,,bde,,,e,ace,e,ace,
,NET: Less equally,2132,110,60,111,138,154,204,77,227,313,144,103,198,104,54,135,411,523,444,333,240,180,935,777,421,1092,318,203,171,349,581,1244,335,909,261
,,0.14,0.11,0.06,0.1,0.13,0.14,0.2,0.07,0.22,0.31,0.14,0.1,0.17,0.1,0.05,0.13,0.16,0.15,0.15,0.12,0.12,0.1,0.16,0.13,0.11,0.11,0.18,0.19,0.11,0.21,0.15,0.13,0.15,0.12,0.14
,,,bgn,,bgn,bgmn,abcgkmn,abcdegjkmno,,abcdegjklmno,abcdefghjklmno,abcgkmn,bgn,abcdgkmno,bgn,,bgmn,defhi,defhi,defi,f,,,defhi,efi,,,ad,ad,,abd,bd,,bd,,
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k,l,m,n,o - a,b,c,d,e,f,g,h,i - a,b,c,d,e - a,b,c,d,e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
