Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q12. If you were to report a gender-based crime (e.g. domestic abuse, rape, forced marriage, female genital mutilation) to the police, how confident would you be that action would be taken against the offender?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Brazil,China,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Russia,Saudi Arabia,Turkey,UK,Ukraine,USA,18-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Working (full time or part time),Not working,In education,Retired,"Other (incl. house wife, full time carer)",Single,NET: In a relationship,Living as a couple/Co-habiting,Married / civil partnership,Separated/divorced/widowed
,Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,a,b,c,d,e,f,g,h,i,a,b,c,d,e,a,b,c,d,e
,Unweighted Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2783,3933,3188,2452,1800,1567,6716,5640,3367,9808,1729,1142,1391,1653,4049,9699,2237,7462,1792
,Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2585,3428,3037,2724,2084,1865,6014,5761,3949,9703,1725,1078,1586,1631,3857,9765,2304,7461,1931
,Very confident,4888,266,475,558,538,362,354,136,364,107,194,550,417,151,165,252,816,1173,1024,852,556,468,1990,1875,1023,3428,384,326,316,434,1108,3343,708,2635,383
,,0.31,0.26,0.46,0.52,0.49,0.34,0.35,0.12,0.36,0.11,0.19,0.54,0.36,0.14,0.16,0.24,0.32,0.34,0.34,0.31,0.27,0.25,0.33,0.33,0.26,0.35,0.22,0.3,0.2,0.27,0.29,0.34,0.31,0.35,0.2
,,,gijmn,aefghijlmno,abefghijlmno,aefghijlmno,agijmno,agijmno,,agijmno,,gim,abdefghijlmno,agijmno,i,gi,gijmn,efi,adefi,efi,efi,,,efi,efi,,bcde,,bde,,bd,e,ace,e,ace,
,Somewhat confident,5332,369,479,358,353,383,352,252,292,358,347,304,350,381,359,395,780,1130,998,965,749,710,1910,1964,1459,3289,549,333,636,524,1180,3439,799,2640,668
,,0.34,0.37,0.47,0.34,0.32,0.36,0.34,0.23,0.29,0.36,0.34,0.3,0.3,0.36,0.36,0.38,0.3,0.33,0.33,0.35,0.36,0.38,0.32,0.34,0.37,0.34,0.32,0.31,0.4,0.32,0.31,0.35,0.35,0.35,0.35
,,,dghkl,acdefghijklmno,gh,g,dghkl,ghkl,,g,ghkl,ghkl,g,g,ghkl,ghkl,cdghkl,,a,a,abcg,abcg,abcgh,,ag,abcgh,c,,,abce,,,a,a,a,a
,Not very confident,3619,279,45,86,145,247,242,537,281,238,291,81,228,348,346,223,671,715,681,565,517,470,1386,1246,987,2052,494,271,420,383,1036,1981,479,1501,572
,,0.23,0.28,0.04,0.08,0.13,0.23,0.24,0.48,0.28,0.24,0.29,0.08,0.2,0.33,0.34,0.21,0.26,0.21,0.22,0.21,0.25,0.25,0.23,0.22,0.25,0.21,0.29,0.25,0.26,0.23,0.27,0.2,0.21,0.2,0.3
,,,bcdefiklo,,b,bck,bcdkl,bcdkl,abcdefhijklmno,bcdefiklo,bcdkl,bcdefiklo,b,bcdk,abcdefhiklo,abcdefhijklo,bcdk,bcdgh,,,,bdh,bcdh,bd,,bcdgh,,ace,a,a,a,bcd,,,,abcd
,Not at all confident,1408,73,9,31,42,53,69,172,74,241,130,29,143,137,96,110,245,313,233,269,193,154,559,502,347,739,216,107,144,202,396,765,239,526,222
,,0.09,0.07,0.01,0.03,0.04,0.05,0.07,0.15,0.07,0.24,0.13,0.03,0.12,0.13,0.09,0.11,0.09,0.09,0.08,0.1,0.09,0.08,0.09,0.09,0.09,0.08,0.13,0.1,0.09,0.12,0.1,0.08,0.1,0.07,0.12
,,,bcdek,,b,b,bck,bcdk,abcdefhklno,bcdek,abcdefghjklmno,abcdefhkn,b,abcdefhkn,abcdefhkn,bcdefk,abcdefhk,c,c,,c,,,c,,,,acd,a,,acd,bd,,bd,,bd
,Don't know,476,21,16,35,29,16,4,12,7,61,47,49,21,51,44,62,73,97,101,73,69,63,170,174,132,196,83,41,69,87,137,237,78,159,86
,,0.03,0.02,0.02,0.03,0.03,0.02,*%,0.01,0.01,0.06,0.05,0.05,0.02,0.05,0.04,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.05,0.04,0.04,0.05,0.04,0.02,0.03,0.02,0.04
,,,fh,f,befghl,fgh,f,,,,abcdefghl,abdefghl,abdefghl,fh,abdefghl,abdefghl,abcdefghl,,,,,,,,,,,a,a,a,a,bd,,bd,,bd
,NET: Confident,10220,635,954,915,891,745,707,388,656,465,541,853,767,531,524,647,1596,2303,2022,1817,1304,1178,3899,3839,2482,6717,933,659,953,959,2289,6782,1508,5275,1051
,,0.65,0.63,0.93,0.86,0.81,0.7,0.69,0.35,0.64,0.46,0.54,0.84,0.66,0.5,0.52,0.62,0.62,0.67,0.67,0.67,0.63,0.63,0.65,0.67,0.63,0.69,0.54,0.61,0.6,0.59,0.59,0.69,0.65,0.71,0.54
,,,gijmn,acdefghijklmno,adefghijlmno,aefghijlmno,aghijlmno,aghijmno,,gijmn,g,gi,adefghijlmno,gijmn,g,gi,gijmn,,aefgi,aefi,aefi,,,a,aefgi,,bcde,,b,b,b,e,ace,ae,ace,
,NET: Not Confident,5027,353,54,117,187,299,311,709,354,480,422,110,372,485,442,333,916,1028,914,834,710,624,1945,1748,1335,2790,710,378,564,585,1432,2746,719,2027,795
,,0.32,0.35,0.05,0.11,0.17,0.28,0.3,0.64,0.35,0.48,0.42,0.11,0.32,0.45,0.44,0.32,0.35,0.3,0.3,0.31,0.34,0.33,0.32,0.3,0.34,0.29,0.41,0.35,0.36,0.36,0.37,0.28,0.31,0.27,0.41
,,,bcdefk,,b,bck,bcdk,bcdk,abcdefhijklmno,bcdefk,abcdefhjklo,abcdefhklo,b,bcdek,abcdefhklo,abcdefhklo,bcdk,bcdgh,,,,bcdh,bch,bch,,bcdh,,acde,a,a,a,bcd,,bd,,abcd
