Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q6_9. Discuss consent with a romantic partner (e.g. saying no in an intimate situation): Compared with 10 years ago (i.e. 2012), is it generally easier or more difficult for women in your country to do each of the following?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Brazil,China,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Russia,Saudi Arabia,Turkey,UK,Ukraine,USA,18-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Working (full time or part time),Not working,In education,Retired,"Other (incl. house wife, full time carer)",Single,NET: In a relationship,Living as a couple/Co-habiting,Married / civil partnership,Separated/divorced/widowed
,Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,a,b,c,d,e,f,g,h,i,a,b,c,d,e,a,b,c,d,e
,Unweighted Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2783,3933,3188,2452,1800,1567,6716,5640,3367,9808,1729,1142,1391,1653,4049,9699,2237,7462,1792
,Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2585,3428,3037,2724,2084,1865,6014,5761,3949,9703,1725,1078,1586,1631,3857,9765,2304,7461,1931
,Much easier,5004,387,455,383,381,223,358,491,350,187,232,303,401,272,321,261,844,1235,993,841,581,510,2079,1834,1091,3410,424,311,398,461,1137,3295,791,2504,534
,,0.32,0.38,0.44,0.36,0.34,0.21,0.35,0.44,0.34,0.19,0.23,0.3,0.35,0.26,0.32,0.25,0.33,0.36,0.33,0.31,0.28,0.27,0.35,0.32,0.28,0.35,0.25,0.29,0.25,0.28,0.29,0.34,0.34,0.34,0.28
,,,eijkmno,acdefhijklmno,eijkmo,eijkmo,,eijkmo,acdefhijklmno,eijkmo,,i,eijmo,eijkmo,ei,eijmo,ei,efi,acdefhi,efi,efi,,,defhi,efi,,bcde,,bd,,bd,,ae,ae,ae,
,Slightly easier,4740,329,368,331,353,310,358,360,345,278,285,307,318,366,208,225,771,1047,925,840,614,543,1818,1765,1157,3090,459,294,448,449,1148,3042,678,2364,516
,,0.3,0.33,0.36,0.31,0.32,0.29,0.35,0.32,0.34,0.28,0.28,0.3,0.27,0.34,0.21,0.22,0.3,0.31,0.3,0.31,0.29,0.29,0.3,0.31,0.29,0.32,0.27,0.27,0.28,0.28,0.3,0.31,0.29,0.32,0.27
,,,ijlno,ceijklno,no,ilno,no,eijklno,ijlno,eijlno,no,no,no,no,eijlno,,,,,,,,,,,,bcde,,,,,e,e,,ace,
,About the same,3262,137,144,153,169,263,130,171,141,151,363,193,255,289,339,363,364,585,660,572,558,523,949,1232,1081,1879,396,167,482,337,705,2034,440,1594,493
,,0.21,0.14,0.14,0.14,0.15,0.25,0.13,0.15,0.14,0.15,0.36,0.19,0.22,0.27,0.34,0.35,0.14,0.17,0.22,0.21,0.27,0.28,0.16,0.21,0.27,0.19,0.23,0.15,0.3,0.21,0.18,0.21,0.19,0.21,0.26
,,,,,,,abcdfghik,,,,,abcdefghiklm,abcdfghi,abcdfghi,abcdfghikl,abcdefghiklm,abcdefghiklm,,a,abg,abg,abcdgh,abcdgh,a,abg,abcdgh,c,ac,,abce,c,,a,,ac,abcd
,Slightly more difficult,1251,87,29,85,108,137,115,48,108,156,38,79,92,56,27,87,270,291,228,214,133,114,561,442,248,696,178,139,87,150,384,693,189,504,150
,,0.08,0.09,0.03,0.08,0.1,0.13,0.11,0.04,0.11,0.15,0.04,0.08,0.08,0.05,0.03,0.08,0.1,0.08,0.08,0.08,0.06,0.06,0.09,0.08,0.06,0.07,0.1,0.13,0.05,0.09,0.1,0.07,0.08,0.07,0.08
,,,bgjmn,,bgjmn,bgjmn,abcdgjklmno,abcgjklmno,n,bcgjklmn,abcdfghjklmno,,bgjmn,bgjmn,bn,,bgjmn,bcdefhi,efi,,fi,,,cdefhi,fi,,d,ad,abde,,ad,bcde,,d,,
,Much more difficult,639,41,10,40,49,60,54,29,48,106,19,42,57,24,8,50,157,154,111,113,53,50,311,224,104,355,92,67,36,89,195,369,109,259,60
